method,delta_mean,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_p,meta_I2,worst_group_delta,width_delta
mondrian_wstd,0.02411467385358838,0.014480621886371753,8,8,0.02454263721256133,0.0033042374058879285,0.0,0.03147418697045707,0.010993555132225491
mondrian_std,0.017966720862005268,0.04148228554018237,5,8,0.02588551498051542,0.000662351336708271,11.522985690106347,0.029691721144620663,0.012373703281759005
mondrian_pair,-0.001470760435887241,0.8717226875798799,4,8,-6.537088088021588e-05,0.9948072696040132,71.20879169079214,0.0008252823566138647,0.020166604645813897
mondrian_iqr,-0.007161552309525681,0.5018232892110082,3,8,-0.003937076718999186,0.7722926919746429,68.42936437113563,0.036013056412503956,0.008321240750732544
mondrian_nnsim,-0.00747154201743216,0.42388562742789304,4,8,-0.008578251884139451,0.7563894415156491,95.01977511585504,-0.001979294922697654,0.025058397094715436
mondrian_pairgap,-0.011754592478336287,0.2596486351085122,2,8,-0.009362650041064366,0.40309182900221374,66.23011917060634,0.0068929233146680785,0.031796141798179585
mondrian_nb,-0.04994416918817951,3.653363165034042e-05,1,8,-0.036450373891689154,0.007977684910274629,67.73100355822163,0.009387914356166246,0.036942618266055945
mondrian_rfstd,-0.06366349244242643,9.680801518102378e-06,1,8,-0.062138814722013935,6.169969925877893e-05,63.52110001478996,0.014540556420103568,0.020131891704450428
