target,signal,auc,auc_sd,n_ds
预测失效,d_pair_gap,0.5226450286895272,0.04621604179200436,8
预测失效,d_nb,0.5501830665831506,0.046896489083229284,8
预测失效,d_nn_sim,0.5935586706558224,0.033672822035656906,8
预测失效,rf_std,0.5966739279210105,0.03298617576524628,8
预测失效,d_iqr,0.6104377044138539,0.02888636197808369,8
预测失效,d_std,0.6416844180500559,0.02981957410005381,8
预测失效,d_wstd,0.6462469569454438,0.02972985730498771,8
