split,signal,auc_fail,auc_cliffB,auc_cliffA,misalignB,misalignA
random,d_nb,0.6207212618731032,0.3487155730841795,0.3360152273342201,0.2720056887889235,0.2847060345388829
random,d_nn_sim,0.6138246391755134,0.10974060734895857,0.17840962934694984,0.5040840318265547,0.43541500982856346
random,d_wstd,0.5819244314444784,0.684575325443406,0.6746132237814205,-0.10265089399892756,-0.09268879233694186
random,rf_std,0.7222496412805324,0.532455629282553,0.489969477069517,0.18979401199797935,0.2322801642110152
scaffold,d_nb,0.6072352797651144,0.29415766706348806,0.33689881317745024,0.3130776127016262,0.2703364665876639
scaffold,d_nn_sim,0.6051439504444915,0.06215373138287428,0.2459780968077407,0.5429902190616173,0.35916585363675074
scaffold,d_wstd,0.5602640536285071,0.6699569811827061,0.6570718372461241,-0.1096929275541989,-0.09680778361761695
scaffold,rf_std,0.6832494896734829,0.4268881990820509,0.46465452919887856,0.2563612905914318,0.21859496047460417
