dataset,split,seed,method,n_test,n_cliffB,n_cliffA,cov_all,cov_cliffB,cov_noncliffB,gapB_pp,cov_cliffA,cov_noncliffA,gapA_pp,width_all,width_cliffA,width_noncliffA
CHEMBL204_Ki,random,71339737,global,551,28,48,0.9219600725952813,0.7857142857142857,0.9292543021032504,14.354001638896474,0.8541666666666666,0.9284294234592445,7.426275679257788,2.6653164527939026,2.6653164527939026,2.665316452793902
CHEMBL204_Ki,random,71339737,mondrian_wstd,551,28,48,0.9219600725952813,0.7857142857142857,0.9292543021032504,14.354001638896474,0.8541666666666666,0.9284294234592445,7.426275679257788,2.6653164527939026,2.6653164527939026,2.665316452793902
CHEMBL204_Ki,random,71339737,mondrian_rfstd,551,28,48,0.9001814882032668,0.5,0.9216061185468452,42.16061185468452,0.7083333333333334,0.9184890656063618,21.01557322730284,2.4922768313601025,2.456362866901238,2.495704008883016
CHEMBL204_Ki,random,71339737,cluster,551,28,48,0.9310344827586207,0.8214285714285714,0.9369024856596558,11.547391423108444,0.875,0.9363817097415507,6.1381709741550665,2.7671948709743335,2.9495262340046975,2.7497954566096072
CHEMBL204_Ki,random,71339737,knn_weighted,551,28,48,0.9219600725952813,0.6785714285714286,0.9349904397705545,25.641901119912593,0.8125,0.9324055666003976,11.990556660039765,2.7071097888831193,2.760425963443423,2.702021963080148
CHEMBL204_Ki,random,71339737,adaptive,551,28,48,0.8947368421052632,0.7857142857142857,0.9005736137667304,11.48593280524447,0.8333333333333334,0.9005964214711729,6.726308813783954,2.9010216539915072,3.041225699826066,2.8876423414665395
CHEMBL204_Ki,random,71339737,weighted_shift,551,28,48,0.9237749546279492,0.7857142857142857,0.9311663479923518,14.545206227806606,0.8541666666666666,0.9304174950298211,7.625082836315444,2.6999782166559942,2.699978216655994,2.6999782166559934
CHEMBL204_Ki,random,71339737,cqr,551,28,48,0.9201451905626135,0.8571428571428571,0.9235181644359465,6.6375307293089385,0.875,0.9244532803180915,4.945328031809149,2.886552469548741,2.911482649409502,2.8841734464208746
CHEMBL204_Ki,random,99182118,global,551,21,51,0.9092558983666061,0.8571428571428571,0.9113207547169812,5.417789757412406,0.9215686274509803,0.908,-1.3568627450980308,2.629766305791362,2.629766305791361,2.6297663057913625
CHEMBL204_Ki,random,99182118,mondrian_wstd,551,21,51,0.9092558983666061,0.8571428571428571,0.9113207547169812,5.417789757412406,0.9215686274509803,0.908,-1.3568627450980308,2.629766305791362,2.629766305791361,2.6297663057913625
CHEMBL204_Ki,random,99182118,mondrian_rfstd,551,21,51,0.911070780399274,0.6666666666666666,0.9207547169811321,25.408805031446548,0.7254901960784313,0.93,20.450980392156872,2.6501810139178117,2.470215791925347,2.6685374665610433
CHEMBL204_Ki,random,99182118,cluster,551,21,51,0.911070780399274,0.7619047619047619,0.9169811320754717,15.507637017070985,0.8823529411764706,0.914,3.1647058823529473,2.6685410837789982,2.639004887531755,2.6715537757962164
CHEMBL204_Ki,random,99182118,knn_weighted,551,21,51,0.9147005444646098,0.7619047619047619,0.9207547169811321,15.884995507637022,0.8823529411764706,0.918,3.5647058823529476,2.688802211479341,2.703230912558195,2.687330483969298
CHEMBL204_Ki,random,99182118,adaptive,551,21,51,0.9019963702359347,0.9523809523809523,0.9,-5.23809523809523,0.9607843137254902,0.896,-6.478431372549021,3.06363736642736,3.5649261655690747,3.0125059089149056
CHEMBL204_Ki,random,99182118,weighted_shift,551,21,51,0.9074410163339383,0.8571428571428571,0.909433962264151,5.229110512129386,0.9215686274509803,0.906,-1.556862745098031,2.604717211022056,2.6047172110220562,2.604717211022056
CHEMBL204_Ki,random,99182118,cqr,551,21,51,0.9038112522686026,0.9047619047619048,0.9037735849056604,-0.09883198562443685,0.9019607843137255,0.904,0.20392156862745203,2.798730866822932,2.8070615594183237,2.7978811361782028
CHEMBL204_Ki,random,89709943,global,551,28,56,0.9183303085299456,0.8571428571428571,0.9216061185468452,6.446326140398806,0.8928571428571429,0.9212121212121213,2.8354978354978355,2.6914150527250675,2.6914150527250675,2.6914150527250684
CHEMBL204_Ki,random,89709943,mondrian_wstd,551,28,56,0.9183303085299456,0.8571428571428571,0.9216061185468452,6.446326140398806,0.8928571428571429,0.9212121212121213,2.8354978354978355,2.6914150527250675,2.6914150527250675,2.6914150527250684
CHEMBL204_Ki,random,89709943,mondrian_rfstd,551,28,56,0.9092558983666061,0.8214285714285714,0.9139579349904398,9.252936356186837,0.8571428571428571,0.9151515151515152,5.8008658008658065,2.495970314198385,2.6364108402789057,2.4800820930660437
CHEMBL204_Ki,random,89709943,cluster,551,28,56,0.9074410163339383,0.8571428571428571,0.9101338432122371,5.299098606938002,0.8928571428571429,0.9090909090909091,1.6233766233766156,2.6189506162737755,2.675243051326921,2.6125821791768535
CHEMBL204_Ki,random,89709943,knn_weighted,551,28,56,0.8874773139745916,0.8214285714285714,0.8910133843212237,6.958481289265228,0.8928571428571429,0.8868686868686869,-0.5988455988455987,2.522497857675043,2.6655628090270467,2.5063127318655236
CHEMBL204_Ki,random,89709943,adaptive,551,28,56,0.9183303085299456,0.8571428571428571,0.9216061185468452,6.446326140398806,0.8928571428571429,0.9212121212121213,2.8354978354978355,3.0620514056189596,3.9499807941486496,2.961598787926712
CHEMBL204_Ki,random,89709943,weighted_shift,551,28,56,0.9165154264972777,0.8571428571428571,0.9196940726577438,6.255121551488674,0.8928571428571429,0.9191919191919192,2.633477633477632,2.6685460652120696,2.6685460652120696,2.6685460652120696
CHEMBL204_Ki,random,89709943,cqr,551,28,56,0.9219600725952813,0.8928571428571429,0.9235181644359465,3.066102157880357,0.9107142857142857,0.9232323232323232,1.2518037518037484,2.900937107760642,3.290731764613086,2.8568391263793558
CHEMBL204_Ki,random,86921808,global,551,21,46,0.8929219600725953,0.6666666666666666,0.9018867924528302,23.52201257861636,0.717391304347826,0.9089108910891089,19.151958674128288,2.497911318358639,2.4979113183586388,2.4979113183586397
CHEMBL204_Ki,random,86921808,mondrian_wstd,551,21,46,0.8929219600725953,0.6666666666666666,0.9018867924528302,23.52201257861636,0.717391304347826,0.9089108910891089,19.151958674128288,2.497911318358639,2.4979113183586388,2.4979113183586397
CHEMBL204_Ki,random,86921808,mondrian_rfstd,551,21,46,0.9147005444646098,0.5714285714285714,0.9283018867924528,35.68733153638814,0.6739130434782609,0.9366336633663367,26.272061988807582,2.541586046350063,2.5929757172089127,2.5369050070243064
CHEMBL204_Ki,random,86921808,cluster,551,21,46,0.9019963702359347,0.6666666666666666,0.9113207547169812,24.46540880503145,0.7608695652173914,0.9148514851485149,15.398191993112354,2.662998526272373,2.7589707160420476,2.6542565050260274
CHEMBL204_Ki,random,86921808,knn_weighted,551,21,46,0.911070780399274,0.6666666666666666,0.9207547169811321,25.408805031446548,0.782608695652174,0.9227722772277228,14.016358157554887,2.610532484460531,2.6961269420376195,2.602735761592123
CHEMBL204_Ki,random,86921808,adaptive,551,21,46,0.9001814882032668,0.7142857142857143,0.9075471698113208,19.326145552560646,0.8260869565217391,0.906930693069307,8.084373654756781,3.006560787084694,3.360312611699011,2.974337848604974
CHEMBL204_Ki,random,86921808,weighted_shift,551,21,46,0.896551724137931,0.6666666666666666,0.9056603773584906,23.899371069182397,0.717391304347826,0.9128712871287129,19.547998278088684,2.510907935875089,2.5109079358750885,2.510907935875089
CHEMBL204_Ki,random,86921808,cqr,551,21,46,0.8656987295825771,0.6190476190476191,0.8754716981132076,25.64240790655885,0.7391304347826086,0.8772277227722772,13.809728798966859,2.724059371863467,2.8555104734074974,2.7120856081584663
CHEMBL204_Ki,random,89165191,global,551,29,60,0.9328493647912885,0.7931034482758621,0.9406130268199234,14.750957854406133,0.8833333333333333,0.9389002036659878,5.556687033265451,3.0379381758567785,3.0379381758567776,3.0379381758567794
CHEMBL204_Ki,random,89165191,mondrian_wstd,551,29,60,0.9328493647912885,0.7931034482758621,0.9406130268199234,14.750957854406133,0.8833333333333333,0.9389002036659878,5.556687033265451,3.0379381758567785,3.0379381758567776,3.0379381758567794
CHEMBL204_Ki,random,89165191,mondrian_rfstd,551,29,60,0.9292196007259528,0.7931034482758621,0.9367816091954023,14.367816091954023,0.8666666666666667,0.9368635437881874,7.019687712152067,2.775997514601625,2.7304585686495972,2.781562355247494
CHEMBL204_Ki,random,89165191,cluster,551,29,60,0.9382940108892922,0.7931034482758621,0.946360153256705,15.325670498084287,0.8833333333333333,0.945010183299389,6.167684996605571,3.1483335120928237,3.131008692711911,3.1504505979642183
