method,delta_mean,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_p,meta_I2,worst_group_delta,width_delta
mondrian_nnsim,0.009021964045002363,0.32732023712931746,8,15,0.0032690778789716815,0.6470108060961594,77.77414497476836,0.011917224727389913,0.07723571385086596
mondrian_std,0.0014593304912771821,0.7322476605386303,8,15,0.0019803424985948086,0.7176565940536923,68.3503337527994,0.03791491334006621,0.03130415496705483
mondrian_wstd,0.0014560539487362748,0.7500573362284126,8,15,0.0034254980937365553,0.4557871406233036,63.385667432987525,0.038716897148327066,0.03370375352275412
mondrian_iqr,0.000478742097359978,0.9432227857376846,7,15,-0.00279305848312302,0.5728610977231197,46.49937613611635,0.04134265529425513,0.04633865719699358
mondrian_pairgap,-0.010535287845713615,0.026980831815811897,4,15,-0.006858379699748951,0.08509026469267358,48.07969513239254,0.010384822560529593,0.05167855357414455
mondrian_pair,-0.012859117372850015,7.894776870738841e-05,1,15,-0.01477037531544231,0.003019174636691832,72.54514605904396,0.0043722747507517305,0.03195066053952041
mondrian_nb,-0.01727077091283851,0.004919384783071165,5,15,-0.02022352731411776,0.007098883561126794,69.79479199928691,0.013526949446725738,0.06375617466510389
mondrian_rfstd,-0.04157876804008616,2.0684165251881343e-07,2,15,-0.0392996303456585,1.5070907604034658e-07,52.732665380382706,0.04441705128447576,-0.03539949254614058
