method,delta_mean,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_p,meta_I2,worst_group_delta,width_delta
mondrian_nnsim,0.1896969696969697,0.125,1,1,0.1896969696969697,0.0036871664080443175,0.0,0.02759460190250811,0.02095535577555694
mondrian_pair,0.16303030303030303,0.125,1,1,0.16303030303030303,0.0006499925694664518,0.0,0.005171785370585047,0.005748587428198881
mondrian_std,0.1312121212121212,0.375,1,1,0.1312121212121212,0.1488678894325385,0.0,0.07228688274658364,0.021701206728993404
mondrian_wstd,0.1312121212121212,0.375,1,1,0.1312121212121212,0.1488678894325385,0.0,0.06105418931260172,0.021150233702063037
mondrian_iqr,0.06303030303030302,0.5,1,1,0.06303030303030302,0.43604471739918593,0.0,0.06716856311414769,0.010221213950836638
mondrian_pairgap,0.0515151515151515,0.5,1,1,0.05151515151515151,0.1268492940151452,100.0,-0.0027598566308243643,-0.0037921277552348974
mondrian_nb,0.01333333333333333,1.0,1,1,0.01333333333333333,0.7562110131749695,0.0,0.027728831690553825,0.04373809789140086
mondrian_rfstd,-0.045151515151515165,0.8125,0,1,-0.045151515151515165,0.6203084749811049,0.0,0.05895710439065789,-0.02414006381042553
