dataset,n,n_cliffB,cliffB_rate,cov_all_global,cov_cliffB_global,cov_noncliffB_global,rf_share_spearman,ws_share_spearman,rf_share_bin0,rf_share_bin4,ws_share_bin0,ws_share_bin4,rf_dq_lo_bins,rf_dq_hi_bins,ws_dq_hi_bins,rf_cov_spearman,delta_cliffB_rfstd,delta_cliffB_wstd,delta_noncliffB_rfstd,delta_noncliffB_wstd
CHEMBL204_Ki,5353,257,0.04801046142350084,0.9084625443676443,0.7782101167315175,0.9150313971742543,0.3,0.7,0.03225806451612903,0.04805914972273567,0.0056179775280898875,0.056838365896980464,-0.5000473144822183,0.4018959871412504,0.3364724721872234,-0.3,-0.0933852140077821,0.0077821011673151474,0.010792778649921564,0.003335949764521229
CHEMBL214_Ki,6205,262,0.042224012892828365,0.9092667203867848,0.6412213740458015,0.9210836277974087,-0.49999999999999994,0.9999999999999999,0.04148148148148148,0.04114832535885168,0.0031201248049922,0.08685064935064934,-0.30413417665442244,0.2663396503643444,0.15365881383507693,-0.3,-0.08396946564885488,0.03053435114503822,-0.003701834090526712,-0.006225811879522092
CHEMBL219_Ki,3490,126,0.03610315186246418,0.9140401146131805,0.753968253968254,0.9200356718192628,0.19999999999999998,0.9999999999999999,0.02340702210663199,0.03054662379421222,0.0014044943820224719,0.07055630936227951,-0.2766862159049566,0.28756032269064374,0.12068097390498621,0.49999999999999994,-0.007936507936507908,0.07936507936507942,-0.0023781212841855748,-0.003864447086801448
CHEMBL228_Ki,3067,88,0.028692533420280403,0.9103358330616237,0.6590909090909091,0.9177576367908694,-0.7999999999999999,0.9999999999999999,0.033156498673740056,0.0248565965583174,0.011146496815286623,0.046153846153846156,-0.3544772686591019,0.3843791412763223,0.11274434594794036,0.49999999999999994,-0.13636363636363635,-0.011363636363636354,0.006042296072507614,0.004028197381671705
CHEMBL233_Ki,6049,260,0.042982311125805917,0.9039510662919491,0.6615384615384615,0.9148384867852825,0.7,0.9999999999999999,0.027711797307996833,0.051583710407239816,0.009819967266775777,0.0790144435004248,-0.3840566187890914,0.3101844001138967,0.16744822069545195,0.7999999999999999,-0.04230769230769227,0.019230769230769273,0.003800310934531037,-0.004491276558991175
CHEMBL234_Ki,6914,240,0.03471217818918137,0.9122071159965288,0.75,0.9180401558285886,0.9999999999999999,0.9999999999999999,0.018229166666666668,0.05405405405405406,0.009298998569384835,0.07318789584799437,-0.3681049792760301,0.2986740757043665,0.16487245647190865,0.6,-0.0708333333333333,0.008333333333333304,-0.002097692538208018,-0.00839077015283185
CHEMBL235_EC50,4501,196,0.04354587869362364,0.9080204399022439,0.5918367346938775,0.9224157955865273,0.8999999999999998,0.9999999999999999,0.035830618892508145,0.0730593607305936,0.012087912087912088,0.09302325581395349,-0.32752928454675817,0.29555753169305443,0.23286244518096375,0.3,0.025510204081632626,0.08163265306122447,-0.004413472706155663,-0.012078977932636459
CHEMBL236_Ki,5050,246,0.048712871287128715,0.9083168316831683,0.7398373983739838,0.9169442131557036,0.8999999999999998,0.8999999999999998,0.020100502512562814,0.06838565022421525,0.0019138755980861245,0.1014344262295082,-0.37336812558497423,0.265030090537082,0.12899354561799437,0.19999999999999998,-0.004065040650406582,0.024390243902439046,-0.00041631973355538143,-0.00603663613655292
CHEMBL237_EC50,1816,114,0.06277533039647577,0.913546255506608,0.8245614035087719,0.9195064629847238,-0.3,0.8999999999999998,0.059880239520958084,0.05460750853242321,0.021739130434782608,0.10230179028132992,-0.12945069229613015,0.3014784030545975,0.1962019178984112,-0.39999999999999997,0.0,0.0,0.01292596944770863,0.008813160987074076
CHEMBL237_Ki,4973,221,0.04443997586969636,0.9042831288960386,0.6877828054298643,0.9143518518518519,0.8999999999999998,0.8999999999999998,0.03374233128834356,0.06385281385281386,0.006647673314339981,0.07626208378088077,-0.292219238282281,0.2544317704718255,0.0920574684848313,0.3,-0.009049773755656076,-0.004524886877828038,0.0,-0.0077861952861952854
CHEMBL239_EC50,3337,233,0.06982319448606533,0.9032064728798321,0.6995708154506438,0.9184922680412371,0.6,0.8999999999999998,0.03469079939668175,0.08628659476117104,0.011747430249632892,0.12143928035982009,-0.27495547939710574,0.21144683406816872,0.2711224464850568,0.0,-0.06008583690987124,0.025751072961373356,-0.004188144329896892,0.005476804123711432
CHEMBL244_Ki,6083,297,0.048824593128390596,0.8975834292289988,0.7037037037037037,0.9075354303491185,0.8999999999999998,0.8999999999999998,0.026717557251908396,0.06152512998266898,0.0125,0.08347826086956522,-0.43919990871530906,0.3401522668438631,0.23898720181722774,0.39999999999999997,-0.0572390572390572,0.006734006734006703,0.00362945039751128,-0.0005184929139301353
CHEMBL264_Ki,5536,177,0.031972543352601156,0.916907514450867,0.8305084745762712,0.9197611494681843,0.7,0.9999999999999999,0.016183986371379896,0.03876739562624255,0.01053639846743295,0.05405405405405406,-0.37950962918010905,0.27895808134697003,0.17199483495174167,-0.6,-0.11299435028248583,-0.02824858757062143,-0.004478447471543134,-0.008397089009143488
CHEMBL287_Ki,2331,69,0.029601029601029602,0.9137709137709138,0.7391304347826086,0.9190981432360743,0.09999999999999999,0.7999999999999999,0.029644268774703556,0.03233830845771144,0.012903225806451613,0.036468330134357005,-0.29196628420124804,0.24663727552218837,0.12676945699762804,0.6,-0.07246376811594202,0.01449275362318847,-0.0026525198938992522,-0.0013262599469496816
