run,dataset,signal,frac_tight,frac_wide,net_tight,tight_mag,wide_mag,net_mag,d_cov_cliff,tightened_miss_frac,recovered_frac
rf_ecfp,CHEMBL204_Ki,d_wstd,0.48638132295719844,0.5058365758754864,-0.019455252918287924,0.07342254303803734,0.1418036177420748,0.06838107470403747,0.0077821011673151474,0.054474708171206226,0.0622568093385214
rf_ecfp,CHEMBL214_Ki,d_wstd,0.5076335877862596,0.49236641221374045,0.01526717557251911,0.0593191778827364,0.1350990607678008,0.07577988288506439,0.03053435114503822,0.05343511450381679,0.08396946564885496
rf_ecfp,CHEMBL219_Ki,d_wstd,0.4444444444444444,0.5238095238095238,-0.07936507936507942,0.0706838694865145,0.14158808866044184,0.07090421917392734,0.07936507936507942,0.03968253968253968,0.11904761904761904
rf_ecfp,CHEMBL228_Ki,d_wstd,0.5454545454545454,0.42045454545454547,0.12499999999999994,0.08468050396044009,0.09747741655661142,0.012796912596171328,-0.011363636363636354,0.06818181818181818,0.056818181818181816
rf_ecfp,CHEMBL233_Ki,d_wstd,0.48846153846153845,0.48846153846153845,0.0,0.05043954559094854,0.10901199243837047,0.058572446847421925,0.019230769230769273,0.038461538461538464,0.057692307692307696
rf_ecfp,CHEMBL234_Ki,d_wstd,0.4875,0.5125,-0.024999999999999967,0.05597885985960894,0.14586455753727304,0.0898856976776641,0.008333333333333304,0.0375,0.04583333333333333
rf_ecfp,CHEMBL235_EC50,d_wstd,0.41836734693877553,0.5663265306122449,-0.14795918367346939,0.06851465745451292,0.20872109506148426,0.14020643760697132,0.08163265306122447,0.05612244897959184,0.1377551020408163
rf_ecfp,CHEMBL236_Ki,d_wstd,0.36585365853658536,0.6097560975609756,-0.24390243902439024,0.042010459004013394,0.11440038109992884,0.07238992209591544,0.024390243902439046,0.052845528455284556,0.07723577235772358
rf_ecfp,CHEMBL237_EC50,d_wstd,0.35964912280701755,0.631578947368421,-0.27192982456140347,0.05356999750967863,0.14208804305547224,0.08851804554579361,0.0,0.043859649122807015,0.043859649122807015
rf_ecfp,CHEMBL237_Ki,d_wstd,0.34841628959276016,0.6515837104072398,-0.30316742081447967,0.038006339865702676,0.06717291250446936,0.02916657263876668,-0.004524886877828038,0.03619909502262444,0.03167420814479638
rf_ecfp,CHEMBL239_EC50,d_wstd,0.3648068669527897,0.6051502145922747,-0.240343347639485,0.048892159407279014,0.16829492538414711,0.11940276597686811,0.025751072961373356,0.05150214592274678,0.07725321888412018
rf_ecfp,CHEMBL244_Ki,d_wstd,0.3400673400673401,0.6161616161616161,-0.27609427609427606,0.04144344711960831,0.13303964402678628,0.09159619690717796,0.006734006734006703,0.04040404040404041,0.04713804713804714
rf_ecfp,CHEMBL264_Ki,d_wstd,0.3672316384180791,0.632768361581921,-0.26553672316384186,0.06462311198375553,0.1157499114419723,0.05112679945821677,-0.02824858757062143,0.07344632768361582,0.04519774011299435
rf_ecfp,CHEMBL287_Ki,d_wstd,0.5362318840579711,0.463768115942029,0.07246376811594207,0.05856152521631368,0.07485786785764122,0.016296342641327538,0.01449275362318847,0.057971014492753624,0.07246376811594203
rf_ecfp,CHEMBL3979_EC50,d_wstd,0.28,0.6533333333333333,-0.3733333333333333,0.02867999872524446,0.09687583585898012,0.06819583713373566,0.013333333333333308,0.02666666666666667,0.04
rf_ecfp,CHEMBL204_Ki,d_std,0.5097276264591439,0.4591439688715953,0.050583657587548625,0.07841565939953304,0.12837269830182094,0.04995703890228789,0.015564202334630295,0.042801556420233464,0.058365758754863814
rf_ecfp,CHEMBL214_Ki,d_std,0.4847328244274809,0.5152671755725191,-0.03053435114503822,0.06318362038217952,0.13066594489597588,0.06748232451379636,0.04580152671755733,0.03435114503816794,0.08015267175572519
rf_ecfp,CHEMBL219_Ki,d_std,0.42857142857142855,0.5714285714285714,-0.14285714285714285,0.06452094124162716,0.1313701594002963,0.06684921815866915,0.0714285714285714,0.023809523809523808,0.09523809523809523
