run,dataset,signal,lhs,rhs,resid
rf_ecfp,CHEMBL204_Ki,d_wstd,0.006533575317604345,0.006533575317604356,1.0408340855860843e-17
rf_ecfp,CHEMBL214_Ki,d_wstd,0.004969879518072262,0.004969879518072289,2.688821387764051e-17
rf_ecfp,CHEMBL219_Ki,d_wstd,0.008310991957104497,0.008310991957104557,6.071532165918825e-17
rf_ecfp,CHEMBL228_Ki,d_wstd,0.01759530791788866,0.017595307917888565,9.367506770274758e-17
rf_ecfp,CHEMBL233_Ki,d_wstd,0.0006359300476947993,0.0006359300476947536,4.575333167888829e-17
rf_ecfp,CHEMBL234_Ki,d_wstd,0.000683060109289535,0.0006830601092896175,8.250778532614689e-17
rf_ecfp,CHEMBL235_EC50,d_wstd,-0.0019148936170212405,-0.0019148936170212765,3.599551212651875e-17
rf_ecfp,CHEMBL236_Ki,d_wstd,-0.001348747591522148,-0.001348747591522158,9.974659986866641e-18
rf_ecfp,CHEMBL237_EC50,d_wstd,0.01884816753926699,0.018848167539267015,2.42861286636753e-17
rf_ecfp,CHEMBL237_Ki,d_wstd,-0.005576923076923035,-0.0055769230769230765,4.163336342344337e-17
rf_ecfp,CHEMBL239_EC50,d_wstd,0.01104651162790693,0.011046511627906977,4.683753385137379e-17
rf_ecfp,CHEMBL244_Ki,d_wstd,0.002903225806451526,0.002903225806451613,8.716985466783456e-17
rf_ecfp,CHEMBL264_Ki,d_wstd,-0.0047120418848167755,-0.004712041884816754,2.168404344971009e-17
rf_ecfp,CHEMBL287_Ki,d_wstd,0.01132075471698113,0.011320754716981131,1.734723475976807e-18
rf_ecfp,CHEMBL3979_EC50,d_wstd,-0.0040000000000000036,-0.004,3.469446951953614e-18
rf_ecfp,CHEMBL204_Ki,d_std,0.003629764065335661,0.003629764065335753,9.194034422677078e-17
rf_ecfp,CHEMBL214_Ki,d_std,0.004819277108433773,0.004819277108433735,3.729655473350135e-17
rf_ecfp,CHEMBL219_Ki,d_std,0.004825737265415464,0.00482573726541555,8.586881206085195e-17
rf_ecfp,CHEMBL228_Ki,d_std,0.015835777126099737,0.015835777126099706,3.122502256758253e-17
rf_ecfp,CHEMBL233_Ki,d_std,0.0007949125596184992,0.000794912559618442,5.713745448998608e-17
rf_ecfp,CHEMBL234_Ki,d_std,0.0010928961748634114,0.001092896174863388,2.3418766925686896e-17
rf_ecfp,CHEMBL235_EC50,d_std,0.0006382978723404875,0.0006382978723404255,6.201636426617085e-17
rf_ecfp,CHEMBL236_Ki,d_std,0.0007707129094411957,0.0007707129094412332,3.74049749507499e-17
rf_ecfp,CHEMBL237_EC50,d_std,0.017277486910994733,0.017277486910994764,3.122502256758253e-17
rf_ecfp,CHEMBL237_Ki,d_std,-0.0026923076923076605,-0.002692307692307692,3.165870343657673e-17
rf_ecfp,CHEMBL239_EC50,d_std,0.014534883720930258,0.014534883720930232,2.6020852139652106e-17
rf_ecfp,CHEMBL244_Ki,d_std,0.000322580645161219,0.0003225806451612903,7.134050294954619e-17
rf_ecfp,CHEMBL264_Ki,d_std,-0.003315881326352521,-0.0033158813263525306,9.540979117872439e-18
rf_ecfp,CHEMBL287_Ki,d_std,0.012075471698113183,0.012075471698113207,2.42861286636753e-17
rf_ecfp,CHEMBL3979_EC50,d_std,-0.003555555555555534,-0.0035555555555555557,2.168404344971009e-17
rf_ecfp,CHEMBL204_Ki,d_iqr,0.0027223230490017736,0.0027223230490018148,4.119968255444917e-17
rf_ecfp,CHEMBL214_Ki,d_iqr,0.003765060240963791,0.0037650602409638554,6.418476861114186e-17
rf_ecfp,CHEMBL219_Ki,d_iqr,0.014209115281501261,0.014209115281501341,7.979727989493313e-17
rf_ecfp,CHEMBL228_Ki,d_iqr,0.014662756598240567,0.01466275659824047,9.71445146547012e-17
rf_ecfp,CHEMBL233_Ki,d_iqr,0.005882352941176561,0.0058823529411764705,9.020562075079397e-17
rf_ecfp,CHEMBL234_Ki,d_iqr,0.001366120218579181,0.001366120218579235,5.399326818977812e-17
rf_ecfp,CHEMBL235_EC50,d_iqr,-0.00021276595744679216,-0.0002127659574468085,1.634434775021898e-17
rf_ecfp,CHEMBL236_Ki,d_iqr,-0.004431599229287042,-0.004431599229287091,4.85722573273506e-17
rf_ecfp,CHEMBL237_EC50,d_iqr,0.014136125654450327,0.014136125654450262,6.418476861114186e-17
rf_ecfp,CHEMBL237_Ki,d_iqr,-0.0007692307692307443,-0.0007692307692307692,2.4936649967166602e-17
rf_ecfp,CHEMBL239_EC50,d_iqr,-0.0011627906976744429,-0.0011627906976744186,2.42861286636753e-17
rf_ecfp,CHEMBL244_Ki,d_iqr,0.004354838709677344,0.004354838709677419,7.45931094670027e-17
rf_ecfp,CHEMBL264_Ki,d_iqr,-0.0006980802792321272,-0.0006980802792321117,1.5504091066542713e-17
rf_ecfp,CHEMBL287_Ki,d_iqr,0.007547169811320753,0.007547169811320755,1.734723475976807e-18
rf_ecfp,CHEMBL3979_EC50,d_iqr,0.008000000000000007,0.008,6.938893903907228e-18
rf_ecfp,CHEMBL204_Ki,d_nb,-0.0005444646098003991,-0.000544464609800363,3.61039323437673e-17
rf_ecfp,CHEMBL214_Ki,d_nb,0.0,0.0,0.0
rf_ecfp,CHEMBL219_Ki,d_nb,0.005093833780160817,0.005093833780160858,4.0766001685454967e-17
rf_ecfp,CHEMBL228_Ki,d_nb,0.014956011730205332,0.014956011730205278,5.377642775528102e-17
rf_ecfp,CHEMBL233_Ki,d_nb,0.001907790143084287,0.0019077901430842607,2.6237692574149207e-17
rf_ecfp,CHEMBL234_Ki,d_nb,0.0005464480874316502,0.000546448087431694,4.380176776841438e-17
