dataset,protocol,seed,method,n_test,n_train,n_cal,n_cliffA,n_cliffB,cov_all,cov_cliffA,cov_noncliffA,gapA_pp,cov_cliffB,cov_noncliffB,gapB_pp,width_all,width_cliffA,nn_sim_mean,nn_sim_median,y_mean_test,y_mean_train
CHEMBL204_Ki,act_shift40,6021738,global,1102,1239,413,115,45,0.11070780399274047,0.1391304347826087,0.10739614994934144,-3.173428483326726,0.15555555555555556,0.10879848628192999,-4.675706927362556,1.8398753729681196,1.8398753729681196,0.6318854016861364,0.6368631368631368,8.449824190700605,5.850544669795772
CHEMBL204_Ki,act_shift40,6021738,mondrian_wstd,1102,1239,413,115,45,0.12704174228675136,0.17391304347826086,0.12158054711246201,-5.2332496365798855,0.15555555555555556,0.12582781456953643,-2.972774098601913,2.0644348308663893,2.004796723705983,0.6318854016861364,0.6368631368631368,8.449824190700605,5.850544669795772
CHEMBL204_Ki,act_shift40,6021738,mondrian_rfstd,1102,1239,413,115,45,0.11252268602540835,0.10434782608695652,0.11347517730496454,0.912735121800802,0.06666666666666667,0.11447492904446546,4.78082623777988,2.119902063034915,1.9524598726967475,0.6318854016861364,0.6368631368631368,8.449824190700605,5.850544669795772
CHEMBL204_Ki,act_shift40,6021738,mondrian_nb,1102,1239,413,115,45,0.1297640653357532,0.14782608695652175,0.1276595744680851,-2.016651248843665,0.17777777777777778,0.12771996215704826,-5.005781562072952,2.2771563984862997,2.1313507364105058,0.6318854016861364,0.6368631368631368,8.449824190700605,5.850544669795772
CHEMBL204_Ki,act_shift40,6021738,adaptive,1102,1239,413,115,45,0.1569872958257713,0.21739130434782608,0.14994934143870314,-6.744196290912294,0.28888888888888886,0.15137180700094607,-13.751708188794279,2.0698894362853437,2.1851329870910754,0.6318854016861364,0.6368631368631368,8.449824190700605,5.850544669795772
CHEMBL204_Ki,act_shift40,98978916,global,1102,1239,413,115,46,0.11705989110707804,0.13043478260869565,0.11550151975683891,-1.4933262851856741,0.043478260869565216,0.12026515151515152,7.678689064558631,1.8800139600148515,1.8800139600148507,0.6299027899240454,0.6375,8.449824190700605,5.868020722068454
CHEMBL204_Ki,act_shift40,98978916,mondrian_wstd,1102,1239,413,115,46,0.1206896551724138,0.19130434782608696,0.11246200607902736,-7.88423417470596,0.15217391304347827,0.11931818181818182,-3.2855731225296445,1.9252878436202228,1.9527234167312058,0.6299027899240454,0.6375,8.449824190700605,5.868020722068454
CHEMBL204_Ki,act_shift40,98978916,mondrian_rfstd,1102,1239,413,115,46,0.12250453720508167,0.14782608695652175,0.11955420466058764,-2.827188229593411,0.06521739130434782,0.125,5.978260869565218,2.218672611091633,2.0460891795470886,0.6299027899240454,0.6375,8.449824190700605,5.868020722068454
CHEMBL204_Ki,act_shift40,98978916,mondrian_nb,1102,1239,413,115,46,0.15245009074410162,0.14782608695652175,0.1529888551165147,0.5162768159992948,0.06521739130434782,0.15625,9.103260869565217,2.244924452102547,2.1516432555593283,0.6299027899240454,0.6375,8.449824190700605,5.868020722068454
CHEMBL204_Ki,act_shift40,98978916,adaptive,1102,1239,413,115,46,0.1397459165154265,0.23478260869565218,0.1286727456940223,-10.610986300162988,0.17391304347826086,0.13825757575757575,-3.5655467720685117,2.116860980499139,2.1131185650558777,0.6299027899240454,0.6375,8.449824190700605,5.868020722068454
CHEMBL204_Ki,act_shift40,91819329,global,1102,1239,413,115,43,0.10617059891107078,0.1391304347826087,0.10233029381965553,-3.680014096295317,0.11627906976744186,0.10576015108593012,-1.0518918681511737,1.7831589145769426,1.7831589145769433,0.6383070000067962,0.6521739130434783,8.449824190700605,5.862107299407892
CHEMBL204_Ki,act_shift40,91819329,mondrian_wstd,1102,1239,413,115,43,0.12885662431941924,0.12173913043478261,0.12968591691995948,0.7946786485176869,0.046511627906976744,0.13220018885741266,8.568856095043593,2.0951402476248213,1.9622124461031463,0.6383070000067962,0.6521739130434783,8.449824190700605,5.862107299407892
CHEMBL204_Ki,act_shift40,91819329,mondrian_rfstd,1102,1239,413,115,43,0.10617059891107078,0.11304347826086956,0.10536980749746708,-0.7673670763402487,0.06976744186046512,0.10764872521246459,3.7881283351999473,2.0342174792832237,1.832436664864819,0.6383070000067962,0.6521739130434783,8.449824190700605,5.862107299407892
CHEMBL204_Ki,act_shift40,91819329,mondrian_nb,1102,1239,413,115,43,0.13702359346642468,0.10434782608695652,0.1408308004052685,3.6482974318311974,0.023255813953488372,0.141643059490085,11.838724553659661,2.2523247394982553,2.068981590207956,0.6383070000067962,0.6521739130434783,8.449824190700605,5.862107299407892
CHEMBL204_Ki,act_shift40,91819329,adaptive,1102,1239,413,115,43,0.13793103448275862,0.1826086956521739,0.13272543059777103,-4.988326505440288,0.13953488372093023,0.13786591123701605,-0.16689724839141773,2.022393853852272,2.1064943407447076,0.6383070000067962,0.6521739130434783,8.449824190700605,5.862107299407892
CHEMBL204_Ki,act_shift20,51912928,global,551,1652,551,54,23,0.11433756805807622,0.1111111111111111,0.11468812877263582,0.3577017661524712,0.043478260869565216,0.11742424242424243,7.394598155467722,1.9372039529500107,1.9372039529500111,0.704570014708374,0.7183098591549296,9.157697112062396,6.3208894474689785
CHEMBL204_Ki,act_shift20,51912928,mondrian_wstd,551,1652,551,54,23,0.11796733212341198,0.1111111111111111,0.11871227364185111,0.7601162530740002,0.043478260869565216,0.12121212121212122,7.7733860342556,1.8833885824266117,1.7985994097636875,0.704570014708374,0.7183098591549296,9.157697112062396,6.3208894474689785
CHEMBL204_Ki,act_shift20,51912928,mondrian_rfstd,551,1652,551,54,23,0.16696914700544466,0.1111111111111111,0.17303822937625754,6.1927118265146435,0.043478260869565216,0.17234848484848486,12.887022397891965,2.3414932495713567,2.067223760826289,0.704570014708374,0.7183098591549296,9.157697112062396,6.3208894474689785
CHEMBL204_Ki,act_shift20,51912928,mondrian_nb,551,1652,551,54,23,0.132486388384755,0.12962962962962962,0.13279678068410464,0.3167151054475015,0.043478260869565216,0.13636363636363635,9.288537549407113,2.003714265627667,2.0167130461242375,0.704570014708374,0.7183098591549296,9.157697112062396,6.3208894474689785
CHEMBL204_Ki,act_shift20,51912928,adaptive,551,1652,551,54,23,0.23411978221415608,0.2037037037037037,0.23742454728370221,3.372084357999852,0.13043478260869565,0.23863636363636365,10.8201581027668,2.4625957793324225,2.3039454424690637,0.704570014708374,0.7183098591549296,9.157697112062396,6.3208894474689785
CHEMBL204_Ki,act_shift20,98104526,global,551,1652,551,54,23,0.21052631578947367,0.18518518518518517,0.21327967806841047,2.8094492883225297,0.13043478260869565,0.21401515151515152,8.358036890645588,2.26842771128646,2.2684277112864604,0.7047933902311464,0.7183098591549296,9.157697112062396,6.3468476051322265
CHEMBL204_Ki,act_shift20,98104526,mondrian_wstd,551,1652,551,54,23,0.1869328493647913,0.12962962962962962,0.193158953722334,6.352932409270437,0.08695652173913043,0.19128787878787878,10.433135704874836,2.2127048738699915,2.0176874145049677,0.7047933902311464,0.7183098591549296,9.157697112062396,6.3468476051322265
CHEMBL204_Ki,act_shift20,98104526,mondrian_rfstd,551,1652,551,54,23,0.21052631578947367,0.14814814814814814,0.21730382293762576,6.915567478947763,0.08695652173913043,0.2159090909090909,12.895256916996049,2.3817532224060765,2.0486479888452607,0.7047933902311464,0.7183098591549296,9.157697112062396,6.3468476051322265
CHEMBL204_Ki,act_shift20,98104526,mondrian_nb,551,1652,551,54,23,0.21052631578947367,0.16666666666666666,0.2152917505030181,4.862508383635145,0.08695652173913043,0.2159090909090909,12.895256916996049,2.325136298192774,2.1799826868674255,0.7047933902311464,0.7183098591549296,9.157697112062396,6.3468476051322265
CHEMBL204_Ki,act_shift20,98104526,adaptive,551,1652,551,54,23,0.4101633393829401,0.4074074074074074,0.4104627766599598,0.3055369252552398,0.34782608695652173,0.4128787878787879,6.505270092226617,3.129986777555274,2.8114778944891863,0.7047933902311464,0.7183098591549296,9.157697112062396,6.3468476051322265
CHEMBL204_Ki,act_shift20,85247631,global,551,1652,551,54,20,0.132486388384755,0.09259259259259259,0.13682092555331993,4.422833296072734,0.0,0.1374764595103578,13.74764595103578,1.943945031834373,1.943945031834373,0.7048601678174932,0.7176470588235294,9.157697112062396,6.329115970626449
CHEMBL204_Ki,act_shift20,85247631,mondrian_wstd,551,1652,551,54,20,0.1161524500907441,0.1111111111111111,0.11670020120724346,0.5589090096132356,0.05,0.11864406779661017,6.864406779661017,1.9264848419734641,1.9409424634491121,0.7048601678174932,0.7176470588235294,9.157697112062396,6.329115970626449
