method,tau_q,under_cliff,under_noncliff,under_gap_pp,under_pos,miscov_cliff,miscov_noncliff,miscov_gap_pp,ratio
global,0.5,0.22685559465799665,0.07945159800445793,14.740399665353873,15/15,0.2503767217043539,0.0850225422583528,16.535417944600113,2.86x
mondrian_nb,0.5,0.26046841584764613,0.0764395141918163,18.402890165582992,15/15,0.2981670178134882,0.08458018618727615,21.358683162621208,3.41x
mondrian_rfstd,0.5,0.25032135413323015,0.07377825858259615,17.654309555063406,15/15,0.2979511615243847,0.08278214915326663,21.516901237111817,3.39x
mondrian_wstd,0.5,0.19040015866334503,0.07591930511952134,11.448085354382371,14/15,0.21838636864152117,0.08186286821013349,13.65235004313877,2.51x
global,0.75,0.35257146387031024,0.1326722020321425,21.989926183816763,15/15,0.35419748013047286,0.13342400578586003,22.077347434461274,2.66x
mondrian_nb,0.75,0.4013340346191906,0.13032869489850382,27.100533972068668,15/15,0.40456740987233314,0.13163536481768487,27.293204505464814,3.08x
mondrian_rfstd,0.75,0.3593762781700172,0.11687371419270562,24.250256397731153,15/15,0.36792252522763985,0.11907987153057552,24.884265369706426,3.07x
mondrian_wstd,0.75,0.2864109844021039,0.12232692493073341,16.40840594713705,13/15,0.28800830625767543,0.12322665127272238,16.478165498495308,2.34x
global,0.9,0.4557771349987351,0.2004282595885193,25.534887541021583,15/15,0.4557771349987351,0.2004282595885193,25.534887541021583,2.27x
mondrian_nb,0.9,0.5237584768955312,0.20747911460762433,31.62793622879069,15/15,0.5237584768955312,0.20747911460762433,31.62793622879069,2.52x
mondrian_rfstd,0.9,0.4619665100400435,0.18170239453406867,28.02641155059749,15/15,0.4619665100400435,0.18211718647211478,27.984932356792875,2.54x
mondrian_wstd,0.9,0.37007582948391643,0.18293145110403777,18.71443783798787,13/15,0.37007582948391643,0.18293145110403777,18.71443783798787,2.02x
