dataset,seed,k,auc_fail,auc_cliffB,misalign,d_cov_cliffB_pp,d_cov_cliffA_pp,cov_cliffB,cov_cliffA,n_cliffB,n_cliffA
CHEMBL204_Ki,71339737,2,0.5747344808643106,0.4770554493307839,0.09767903153352664,-7.14285714285714,-2.083333333333326,0.7142857142857143,0.8333333333333334,28,48
CHEMBL204_Ki,71339737,5,0.5941677348470976,0.46452472002185197,0.12964301482524565,-7.14285714285714,-4.1666666666666625,0.7142857142857143,0.8125,28,48
CHEMBL204_Ki,71339737,10,0.668925105292071,0.4978148046981699,0.17111030059390114,-32.14285714285714,-16.666666666666664,0.4642857142857143,0.6875,28,48
CHEMBL204_Ki,71339737,25,0.7276597692730269,0.5152280797596285,0.21243168951339841,-14.28571428571428,-10.416666666666663,0.6428571428571429,0.75,28,48
CHEMBL204_Ki,71339737,50,0.7173136788134041,0.48695711554220156,0.23035656327120257,-28.57142857142857,-16.666666666666664,0.5,0.6875,28,48
CHEMBL204_Ki,71339737,100,0.7304980772752243,0.4816989893471729,0.2487990879280514,-25.0,-12.5,0.5357142857142857,0.7291666666666666,28,48
CHEMBL204_Ki,71339737,200,0.728026002563633,0.4670854957661841,0.26094050679744896,-28.57142857142857,-14.583333333333325,0.5,0.7083333333333334,28,48
CHEMBL204_Ki,99182118,2,0.6849900199600798,0.5190026954177898,0.16598732454229004,0.0,-3.9215686274509776,0.8571428571428571,0.8823529411764706,21,51
CHEMBL204_Ki,99182118,5,0.7600199600798403,0.4715633423180593,0.288456617761781,-9.523809523809524,-7.843137254901955,0.7619047619047619,0.8431372549019608,21,51
CHEMBL204_Ki,99182118,10,0.7605788423153692,0.5330637915543576,0.22751505076101164,-14.28571428571428,-9.80392156862745,0.7142857142857143,0.8235294117647058,21,51
CHEMBL204_Ki,99182118,25,0.8030339321357285,0.46612758310871516,0.33690634902701333,-19.047619047619047,-17.647058823529406,0.6666666666666666,0.7450980392156863,21,51
CHEMBL204_Ki,99182118,50,0.7970059880239521,0.49793351302785266,0.2990724749960994,-4.761904761904756,-9.80392156862745,0.8095238095238095,0.8235294117647058,21,51
CHEMBL204_Ki,99182118,100,0.805189620758483,0.4853548966756514,0.3198347240828316,-23.809523809523803,-21.568627450980383,0.6190476190476191,0.7058823529411765,21,51
CHEMBL204_Ki,99182118,200,0.8093413173652695,0.4784366576819407,0.3309046596833288,-19.047619047619047,-19.6078431372549,0.6666666666666666,0.7254901960784313,21,51
CHEMBL204_Ki,89709943,2,0.6667545015371102,0.4965856323408905,0.17016886919621976,0.0,0.0,0.8571428571428571,0.8928571428571429,28,56
CHEMBL204_Ki,89709943,5,0.6510540184453228,0.6007921332969134,0.05026188514840946,-7.14285714285714,-3.571428571428581,0.7857142857142857,0.8571428571428571,28,56
CHEMBL204_Ki,89709943,10,0.7275362318840579,0.6554903031958481,0.0720459286882098,-3.57142857142857,-3.571428571428581,0.8214285714285714,0.8571428571428571,28,56
CHEMBL204_Ki,89709943,25,0.7675010979358805,0.5878858235454794,0.17961527439040115,-3.57142857142857,-3.571428571428581,0.8214285714285714,0.8571428571428571,28,56
CHEMBL204_Ki,89709943,50,0.7339042599912166,0.6290289538377493,0.1048753061534673,-7.14285714285714,-8.92857142857143,0.7857142857142857,0.8035714285714286,28,56
CHEMBL204_Ki,89709943,100,0.7726394378568292,0.6339114995902759,0.13872793826655327,0.0,-1.7857142857142905,0.8571428571428571,0.875,28,56
CHEMBL204_Ki,89709943,200,0.7602986385595081,0.621073477192024,0.13922516136748408,-3.57142857142857,-3.571428571428581,0.8214285714285714,0.8571428571428571,28,56
CHEMBL204_Ki,86921808,2,0.642259198015709,0.5196765498652292,0.12258264815047981,-4.761904761904756,-2.1739130434782594,0.6190476190476191,0.6956521739130435,21,46
CHEMBL204_Ki,86921808,5,0.6750378944467411,0.5530548068283917,0.12198308761834942,-9.523809523809524,-6.521739130434778,0.5714285714285714,0.6521739130434783,21,46
CHEMBL204_Ki,86921808,10,0.7732189610031693,0.5526954177897574,0.22052354321341194,-4.761904761904756,-4.347826086956519,0.6190476190476191,0.6739130434782609,21,46
CHEMBL204_Ki,86921808,25,0.7899269670662808,0.5612758310871518,0.228651135979129,-9.523809523809524,-6.521739130434778,0.5714285714285714,0.6521739130434783,21,46
CHEMBL204_Ki,86921808,50,0.7899958660603555,0.5605570530098832,0.2294388130504723,-9.523809523809524,-4.347826086956519,0.5714285714285714,0.6739130434782609,21,46
CHEMBL204_Ki,86921808,100,0.7934752652611272,0.5403414195867026,0.25313384567442465,-9.523809523809524,-8.695652173913038,0.5714285714285714,0.6304347826086957,21,46
CHEMBL204_Ki,86921808,200,0.8013297505856415,0.5487870619946091,0.25254268859103235,-9.523809523809524,-4.347826086956519,0.5714285714285714,0.6739130434782609,21,46
CHEMBL204_Ki,89165191,2,0.5424860658323694,0.3594596379970934,0.18302642783527595,3.4482758620689613,1.6666666666666718,0.8275862068965517,0.9,29,60
CHEMBL204_Ki,89165191,5,0.6875328636029026,0.5717730215352094,0.11575984206769319,3.4482758620689613,-1.6666666666666607,0.8275862068965517,0.8666666666666667,29,60
CHEMBL204_Ki,89165191,10,0.666763066568514,0.5900713436385255,0.07669172292998849,-3.4482758620689724,-3.3333333333333326,0.7586206896551724,0.85,29,60
CHEMBL204_Ki,89165191,25,0.6828530865495847,0.5563812921125644,0.12647179443702028,-6.896551724137934,-3.3333333333333326,0.7241379310344828,0.85,29,60
CHEMBL204_Ki,89165191,50,0.7135345462193711,0.5221297397278373,0.1914048064915338,-3.4482758620689724,-3.3333333333333326,0.7586206896551724,0.85,29,60
CHEMBL204_Ki,89165191,100,0.7217373015038385,0.525366627031312,0.19637067447252654,0.0,-1.6666666666666607,0.7931034482758621,0.8666666666666667,29,60
CHEMBL204_Ki,89165191,200,0.7187927226837733,0.5414189456995641,0.1773737769842092,0.0,-1.6666666666666607,0.7931034482758621,0.8666666666666667,29,60
CHEMBL214_Ki,71339737,2,0.579406966701852,0.4428047839506173,0.1366021827512347,0.0,2.0000000000000018,0.625,0.76,16,50
CHEMBL214_Ki,71339737,5,0.5925694910917059,0.4253472222222222,0.16722226886948366,6.25,4.0000000000000036,0.6875,0.78,16,50
CHEMBL214_Ki,71339737,10,0.6627163100150337,0.46662808641975306,0.19608822359528066,-6.25,-7.9999999999999964,0.5625,0.66,16,50
CHEMBL214_Ki,71339737,25,0.6824520999264306,0.43508873456790126,0.24736336535852937,0.0,0.0,0.625,0.74,16,50
CHEMBL214_Ki,71339737,50,0.6971339922592201,0.44733796296296297,0.24979602929625716,-6.25,-2.0000000000000018,0.5625,0.72,16,50
CHEMBL214_Ki,71339737,100,0.6995649809679173,0.4263117283950617,0.2732532525728556,-12.5,-5.999999999999995,0.5,0.68,16,50
CHEMBL214_Ki,71339737,200,0.7025717301602533,0.4182098765432099,0.2843618536170434,-12.5,-5.999999999999995,0.5,0.68,16,50
CHEMBL214_Ki,99182118,2,0.640019252647239,0.5105941114616194,0.12942514118561965,9.999999999999998,6.1224489795918435,0.7,0.7346938775510204,30,49
CHEMBL214_Ki,99182118,5,0.642852454712523,0.5660357518401682,0.07681670287235476,-3.3333333333333326,-4.081632653061218,0.5666666666666667,0.6326530612244898,30,49
CHEMBL214_Ki,99182118,10,0.7104664391353811,0.5904837013669821,0.11998273776839896,3.3333333333333326,-2.0408163265306145,0.6333333333333333,0.6530612244897959,30,49
CHEMBL214_Ki,99182118,25,0.6634724774656515,0.509043112513144,0.15442936495250748,3.3333333333333326,2.0408163265306145,0.6333333333333333,0.6938775510204082,30,49
