seed,method,group_def,side,n,k,coverage,ci_lo,ci_hi,mean_width,worst_d_wstd_cov,worst_d_wstd_spread,worst_rf_std_cov,worst_rf_std_spread,dataset
71339737,mondrian_nb,cliffA,cliff,55,40,0.7272727272727273,0.5976780188832919,0.8271924806089416,2.273841298063542,,,,,CHEMBL233_Ki
71339737,mondrian_nb,cliffA,noncliff,574,533,0.9285714285714286,0.9045314457810331,0.9469131719245113,2.6259475627025797,,,,,CHEMBL233_Ki
71339737,mondrian_nb,__bins__,__summary__,-1,-1,,,,2.5951592565735706,0.8266666666666667,0.17333333333333334,0.8717948717948718,0.07757221681272308,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffB_oracle,all,629,569,0.904610492845787,0.8791364042003086,0.9251724679594361,2.5001138743234907,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffB_oracle,cliff,30,16,0.5333333333333333,0.36142299619873297,0.6976761109230025,2.0543931780732003,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffB_oracle,noncliff,599,553,0.9232053422370617,0.8990831700114277,0.9419339707005208,2.52243711453636,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffA,all,629,569,0.904610492845787,0.8791364042003086,0.9251724679594361,2.5001138743234907,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffA,cliff,55,38,0.6909090909090909,0.5597140984246408,0.7971771211488353,2.055614197348648,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffA,noncliff,574,531,0.9250871080139372,0.9006117868409108,0.9439105168995477,2.542705306786237,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,__bins__,__summary__,-1,-1,,,,2.5001138743234907,0.84,0.13333333333333341,0.8481012658227848,0.11343719571567679,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffB_oracle,all,629,577,0.9173290937996821,0.8931912535838638,0.9364004121997631,2.4802037387335987,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffB_oracle,cliff,30,21,0.7,0.5212421254128504,0.8333525173175619,2.22727156544708,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffB_oracle,noncliff,599,556,0.9282136894824707,0.9046992303206073,0.9462707759618968,2.492871460267147,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffA,all,629,577,0.9173290937996821,0.8931912535838638,0.9364004121997631,2.4802037387335987,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffA,cliff,55,45,0.8181818181818182,0.6966954036336236,0.8981232956555033,2.210056126332644,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffA,noncliff,574,532,0.926829268292683,0.9025699217277456,0.945413538995256,2.506088962918359,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,__bins__,__summary__,-1,-1,,,,2.4802037387335987,0.88,0.09333333333333338,0.8354430379746836,0.1392405063291139,CHEMBL233_Ki
71339737,mondrian_rfstd,cliffB_oracle,all,629,565,0.8982511923688394,0.8721560311183526,0.9195114442294511,2.2974341760912913,,,,,CHEMBL233_Ki
71339737,mondrian_rfstd,cliffB_oracle,cliff,30,18,0.6,0.42320360253322475,0.7540937188319815,2.380697785112656,,,,,CHEMBL233_Ki
71339737,mondrian_rfstd,cliffB_oracle,noncliff,599,547,0.9131886477462438,0.887926217047623,0.9331851925232144,2.2932640454224416,,,,,CHEMBL233_Ki
71339737,mondrian_rfstd,cliffA,all,629,565,0.8982511923688394,0.8721560311183526,0.9195114442294511,2.2974341760912913,,,,,CHEMBL233_Ki
71339737,mondrian_rfstd,cliffA,cliff,55,41,0.7454545454545455,0.6169812871823414,0.841878852269271,2.35649083676311,,,,,CHEMBL233_Ki
71339737,mondrian_rfstd,cliffA,noncliff,574,524,0.9128919860627178,0.8869915321592676,0.9333026727033911,2.2917754368283125,,,,,CHEMBL233_Ki
71339737,mondrian_rfstd,__bins__,__summary__,-1,-1,,,,2.2974341760912913,0.8266666666666667,0.12,0.8354430379746836,0.10045439792275235,CHEMBL233_Ki
