method,delta_mean,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_p,meta_I2,worst_group_delta,width_delta
mondrian_wstd,0.025579651496817922,0.006110601709571308,11,15,0.02142351707767664,0.11386679338577842,76.71955037709496,0.04479739215307287,0.07541298112097988
mondrian_std,0.021313531358234012,0.01827234151023037,11,15,0.018436197401500806,0.16801642165972608,73.52178844064977,0.04416184817248872,0.0729631420776738
mondrian_iqr,0.017968568598167034,0.023189511143665045,10,15,0.018625204587130004,0.03699240854651491,53.936968477437915,0.04859321416776275,0.0737849543787005
mondrian_nnsim,0.00891052867174868,0.44457993218451086,9,15,0.003569464245450114,0.7562483775672679,55.7902943751397,0.0201402707979917,0.11332077698865087
mondrian_pairgap,-0.01029630530880788,0.4276730416526241,6,15,-0.0006205134751671067,0.9544995534015851,60.5704804943832,0.016400238176203452,0.06926024855063609
mondrian_pair,-0.017239823074833516,0.019398860195363857,6,15,-0.007328158868699463,0.2872712508472314,50.00719962108631,0.002214836724202899,0.023133479059691233
mondrian_rfstd,-0.03076251693205747,0.008635404292570098,3,15,-0.03338334938031251,0.018661209940273708,45.43530447112891,0.04779908132263114,-0.013218495646629972
mondrian_nb,-0.03750818831131469,0.0008099302831495285,3,15,-0.034291249276038285,0.009576007881799407,72.81760040062895,0.018040949647392352,0.07002319773416753
