method,delta_mean,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_p,meta_I2,worst_group_delta,width_delta
mondrian_nnsim,0.01920645529438633,0.03223832550615604,9,15,0.015295791872575898,0.2421814509581649,74.40538014930928,0.010037342696645754,0.07041411296106166
mondrian_wstd,0.015208090516222695,0.031933342608063214,11,15,0.010942661367441972,0.03410883860029379,2.3298058460369475,0.03953749749124336,0.03344563656581734
mondrian_std,0.014734250200511561,0.045432073802909534,11,15,0.012182543353702063,0.03477655935792904,28.227837786242855,0.04139478499476982,0.035311222924113664
mondrian_iqr,0.0011090192160575628,0.838200015576202,7,15,0.0016637489230688822,0.8519786092586219,50.88926210412082,0.040680921946396546,0.03896839185783416
mondrian_pair,-0.0024545818992610323,0.40738604771297715,6,15,-0.0019706074740190984,0.7404256407241363,60.51318474010389,0.0019012031439000492,0.026173775415860374
mondrian_pairgap,-0.006341166233905891,0.23328996070476282,6,15,-0.006059106174929012,0.4307903220271373,57.67738799711864,0.01238320501429898,0.059405568708805395
mondrian_nb,-0.041319304480332046,6.187466045280852e-07,2,15,-0.039704408740255846,4.260751238021029e-05,56.87116900883029,0.013930054733128904,0.055283993511907235
mondrian_rfstd,-0.052607137038635086,2.42612335162125e-07,1,15,-0.04991968723042025,2.384398869391454e-05,51.47540091271087,0.0441372157779175,-0.032840477221284366
