seed,method,group_def,side,n,k,coverage,ci_lo,ci_hi,mean_width,worst_d_wstd_cov,worst_d_wstd_spread,worst_rf_std_cov,worst_rf_std_spread,dataset
89709943,mondrian_wstd,cliffA,noncliff,584,521,0.8921232876712328,0.8643521631793555,0.9147694743431539,2.3895672284123632,,,,,CHEMBL233_Ki
89709943,mondrian_wstd,__bins__,__summary__,-1,-1,,,,2.410741884178894,0.85,0.0746575342465754,0.7777777777777778,0.18253968253968256,CHEMBL233_Ki
89709943,mondrian_rfstd,cliffB_oracle,all,629,563,0.8950715421303657,0.8686764555053191,0.9166703214365141,2.3795739684041157,,,,,CHEMBL233_Ki
89709943,mondrian_rfstd,cliffB_oracle,cliff,18,12,0.6666666666666666,0.43749467295945105,0.837212252491663,2.5787710276267335,,,,,CHEMBL233_Ki
89709943,mondrian_rfstd,cliffB_oracle,noncliff,611,551,0.9018003273322422,0.8756342081337147,0.9229456419332764,2.373705642600504,,,,,CHEMBL233_Ki
89709943,mondrian_rfstd,cliffA,all,629,563,0.8950715421303657,0.8686764555053191,0.9166703214365141,2.3795739684041157,,,,,CHEMBL233_Ki
89709943,mondrian_rfstd,cliffA,cliff,45,36,0.8,0.6617703088385799,0.8910387319216871,2.3837238908699603,,,,,CHEMBL233_Ki
89709943,mondrian_rfstd,cliffA,noncliff,584,527,0.9023972602739726,0.8756329957726976,0.9239023091084801,2.3792541969812344,,,,,CHEMBL233_Ki
89709943,mondrian_rfstd,__bins__,__summary__,-1,-1,,,,2.3795739684041157,0.863013698630137,0.07913506170044149,0.872,0.07244444444444442,CHEMBL233_Ki
86921808,global,cliffB_oracle,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.48851328541768,,,,,CHEMBL233_Ki
86921808,global,cliffB_oracle,cliff,27,23,0.8518518518518519,0.6752131457218702,0.9408407222375568,2.48851328541768,,,,,CHEMBL233_Ki
86921808,global,cliffB_oracle,noncliff,602,545,0.9053156146179402,0.8792908891130117,0.9262003708445364,2.48851328541768,,,,,CHEMBL233_Ki
86921808,global,cliffA,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.48851328541768,,,,,CHEMBL233_Ki
86921808,global,cliffA,cliff,50,43,0.86,0.7381380628941446,0.9304916657298371,2.48851328541768,,,,,CHEMBL233_Ki
