seed,method,bin_var,bin,bin_lo,bin_hi,n,k,coverage,ci_lo,ci_hi,dataset
71339737,global,worst_d_wstd,0,-inf,0.3894867866765792,121,107,0.8842975206611571,0.8151300267053524,0.9298148087565034,CHEMBL233_Ki
71339737,global,worst_d_wstd,1,0.3894867866765792,0.6187244359307499,120,115,0.9583333333333334,0.9061591476629647,0.9820732831198906,CHEMBL233_Ki
71339737,global,worst_d_wstd,2,0.6187244359307499,0.7852358452222616,121,109,0.9008264462809917,0.8346307100233649,0.9423547635228716,CHEMBL233_Ki
71339737,global,worst_d_wstd,3,0.7852358452222616,0.9581626671127104,119,105,0.8823529411764706,0.8121796237448505,0.9286126207760194,CHEMBL233_Ki
71339737,global,worst_d_wstd,4,0.9581626671127104,inf,148,132,0.8918918918918919,0.8316021691644995,0.9323525563823722,CHEMBL233_Ki
71339737,global,worst_rf_std,0,-inf,0.45697724198241063,126,122,0.9682539682539683,0.9212139122353924,0.9875867210273106,CHEMBL233_Ki
71339737,global,worst_rf_std,1,0.45697724198241063,0.6029630794605354,126,117,0.9285714285714286,0.869814774211143,0.961968856232687,CHEMBL233_Ki
71339737,global,worst_rf_std,2,0.6029630794605354,0.7175906563363218,125,115,0.92,0.8589881016125887,0.9559669676724172,CHEMBL233_Ki
71339737,global,worst_rf_std,3,0.7175906563363218,0.9237004206274912,126,110,0.873015873015873,0.8036562871490389,0.9203035393483685,CHEMBL233_Ki
71339737,global,worst_rf_std,4,0.9237004206274912,inf,126,104,0.8253968253968254,0.7497659983259423,0.8817734247888173,CHEMBL233_Ki
71339737,mondrian_pair,worst_d_wstd,0,-inf,0.3894867866765792,121,109,0.9008264462809917,0.8346307100233649,0.9423547635228716,CHEMBL233_Ki
71339737,mondrian_pair,worst_d_wstd,1,0.3894867866765792,0.6187244359307499,120,115,0.9583333333333334,0.9061591476629647,0.9820732831198906,CHEMBL233_Ki
71339737,mondrian_pair,worst_d_wstd,2,0.6187244359307499,0.7852358452222616,121,111,0.9173553719008265,0.854535161068024,0.9544909505625935,CHEMBL233_Ki
71339737,mondrian_pair,worst_d_wstd,3,0.7852358452222616,0.9581626671127104,119,101,0.8487394957983193,0.7735406236582529,0.9021270279377052,CHEMBL233_Ki
71339737,mondrian_pair,worst_d_wstd,4,0.9581626671127104,inf,148,131,0.8851351351351351,0.823747331672143,0.9270357606756446,CHEMBL233_Ki
71339737,mondrian_pair,worst_rf_std,0,-inf,0.45697724198241063,126,122,0.9682539682539683,0.9212139122353924,0.9875867210273106,CHEMBL233_Ki
71339737,mondrian_pair,worst_rf_std,1,0.45697724198241063,0.6029630794605354,126,117,0.9285714285714286,0.869814774211143,0.961968856232687,CHEMBL233_Ki
71339737,mondrian_pair,worst_rf_std,2,0.6029630794605354,0.7175906563363218,125,116,0.928,0.8688171613175633,0.9616608616681095,CHEMBL233_Ki
71339737,mondrian_pair,worst_rf_std,3,0.7175906563363218,0.9237004206274912,126,107,0.8492063492063492,0.7764621251952817,0.9012874996108018,CHEMBL233_Ki
71339737,mondrian_pair,worst_rf_std,4,0.9237004206274912,inf,126,105,0.8333333333333334,0.7586147124827934,0.888328111195741,CHEMBL233_Ki
71339737,mondrian_wstd,worst_d_wstd,0,-inf,0.3894867866765792,121,112,0.9256198347107438,0.8646691146497353,0.9603773160230725,CHEMBL233_Ki
71339737,mondrian_wstd,worst_d_wstd,1,0.3894867866765792,0.6187244359307499,120,108,0.9,0.833318258891048,0.9418664079739892,CHEMBL233_Ki
71339737,mondrian_wstd,worst_d_wstd,2,0.6187244359307499,0.7852358452222616,121,104,0.859504132231405,0.7864891952067391,0.9103946831285451,CHEMBL233_Ki
71339737,mondrian_wstd,worst_d_wstd,3,0.7852358452222616,0.9581626671127104,119,104,0.8739495798319328,0.8024083075931692,0.9221027886964728,CHEMBL233_Ki
71339737,mondrian_wstd,worst_d_wstd,4,0.9581626671127104,inf,148,140,0.9459459459459459,0.89696925602482,0.9723585351147236,CHEMBL233_Ki
71339737,mondrian_wstd,worst_rf_std,0,-inf,0.45697724198241063,126,120,0.9523809523809523,0.8999983205231048,0.9779955116120489,CHEMBL233_Ki
71339737,mondrian_wstd,worst_rf_std,1,0.45697724198241063,0.6029630794605354,126,115,0.9126984126984127,0.8504236729488102,0.9505531563674703,CHEMBL233_Ki
71339737,mondrian_wstd,worst_rf_std,2,0.6029630794605354,0.7175906563363218,125,116,0.928,0.8688171613175633,0.9616608616681095,CHEMBL233_Ki
71339737,mondrian_wstd,worst_rf_std,3,0.7175906563363218,0.9237004206274912,126,110,0.873015873015873,0.8036562871490389,0.9203035393483685,CHEMBL233_Ki
71339737,mondrian_wstd,worst_rf_std,4,0.9237004206274912,inf,126,107,0.8492063492063492,0.7764621251952817,0.9012874996108018,CHEMBL233_Ki
71339737,mondrian_rfstd,worst_d_wstd,0,-inf,0.3894867866765792,121,106,0.8760330578512396,0.8055084227089188,0.9234160937107464,CHEMBL233_Ki
71339737,mondrian_rfstd,worst_d_wstd,1,0.3894867866765792,0.6187244359307499,120,112,0.9333333333333333,0.8739486959646967,0.9658346931390938,CHEMBL233_Ki
71339737,mondrian_rfstd,worst_d_wstd,2,0.6187244359307499,0.7852358452222616,121,106,0.8760330578512396,0.8055084227089188,0.9234160937107464,CHEMBL233_Ki
71339737,mondrian_rfstd,worst_d_wstd,3,0.7852358452222616,0.9581626671127104,119,104,0.8739495798319328,0.8024083075931692,0.9221027886964728,CHEMBL233_Ki
71339737,mondrian_rfstd,worst_d_wstd,4,0.9581626671127104,inf,148,135,0.9121621621621622,0.8555205671087441,0.9479490580353794,CHEMBL233_Ki
71339737,mondrian_rfstd,worst_rf_std,0,-inf,0.45697724198241063,126,112,0.8888888888888888,0.8221164243496584,0.9326502032752981,CHEMBL233_Ki
71339737,mondrian_rfstd,worst_rf_std,1,0.45697724198241063,0.6029630794605354,126,109,0.8650793650793651,0.794530173232168,0.9140262527014648,CHEMBL233_Ki
71339737,mondrian_rfstd,worst_rf_std,2,0.6029630794605354,0.7175906563363218,125,114,0.912,0.8492803613696875,0.9501517542146516,CHEMBL233_Ki
71339737,mondrian_rfstd,worst_rf_std,3,0.7175906563363218,0.9237004206274912,126,111,0.8809523809523809,0.8128498826548355,0.9265133444063466,CHEMBL233_Ki
71339737,mondrian_rfstd,worst_rf_std,4,0.9237004206274912,inf,126,117,0.9285714285714286,0.869814774211143,0.961968856232687,CHEMBL233_Ki
99182118,global,worst_d_wstd,0,-inf,0.37310202703881523,121,112,0.9256198347107438,0.8646691146497353,0.9603773160230725,CHEMBL233_Ki
99182118,global,worst_d_wstd,1,0.37310202703881523,0.6078483306492516,120,112,0.9333333333333333,0.8739486959646967,0.9658346931390938,CHEMBL233_Ki
99182118,global,worst_d_wstd,2,0.6078483306492516,0.7788200939764721,120,114,0.95,0.8951971146376326,0.9768856355855343,CHEMBL233_Ki
99182118,global,worst_d_wstd,3,0.7788200939764721,0.9359850686676958,120,108,0.9,0.833318258891048,0.9418664079739892,CHEMBL233_Ki
99182118,global,worst_d_wstd,4,0.9359850686676958,inf,148,124,0.8378378378378378,0.7700427540196234,0.8885389059345762,CHEMBL233_Ki
99182118,global,worst_rf_std,0,-inf,0.43199483797352806,126,121,0.9603174603174603,0.9104643457790981,0.9829328869198303,CHEMBL233_Ki
99182118,global,worst_rf_std,1,0.43199483797352806,0.5917934843920519,126,122,0.9682539682539683,0.9212139122353924,0.9875867210273106,CHEMBL233_Ki
99182118,global,worst_rf_std,2,0.5917934843920519,0.7409962472069064,125,115,0.92,0.8589881016125887,0.9559669676724172,CHEMBL233_Ki
99182118,global,worst_rf_std,3,0.7409962472069064,0.939164027131095,126,112,0.8888888888888888,0.8221164243496584,0.9326502032752981,CHEMBL233_Ki
99182118,global,worst_rf_std,4,0.939164027131095,inf,126,100,0.7936507936507936,0.7148150905604327,0.8551107302992285,CHEMBL233_Ki
99182118,mondrian_pair,worst_d_wstd,0,-inf,0.37310202703881523,121,113,0.9338842975206612,0.8749464696996738,0.9661202800153244,CHEMBL233_Ki
99182118,mondrian_pair,worst_d_wstd,1,0.37310202703881523,0.6078483306492516,120,112,0.9333333333333333,0.8739486959646967,0.9658346931390938,CHEMBL233_Ki
99182118,mondrian_pair,worst_d_wstd,2,0.6078483306492516,0.7788200939764721,120,114,0.95,0.8951971146376326,0.9768856355855343,CHEMBL233_Ki
99182118,mondrian_pair,worst_d_wstd,3,0.7788200939764721,0.9359850686676958,120,109,0.9083333333333333,0.843291530273291,0.9480428171514347,CHEMBL233_Ki
99182118,mondrian_pair,worst_d_wstd,4,0.9359850686676958,inf,148,125,0.8445945945945946,0.777596026541791,0.8941572666114926,CHEMBL233_Ki
99182118,mondrian_pair,worst_rf_std,0,-inf,0.43199483797352806,126,121,0.9603174603174603,0.9104643457790981,0.9829328869198303,CHEMBL233_Ki
99182118,mondrian_pair,worst_rf_std,1,0.43199483797352806,0.5917934843920519,126,124,0.9841269841269841,0.9439712362150748,0.9956361981751772,CHEMBL233_Ki
99182118,mondrian_pair,worst_rf_std,2,0.5917934843920519,0.7409962472069064,125,116,0.928,0.8688171613175633,0.9616608616681095,CHEMBL233_Ki
99182118,mondrian_pair,worst_rf_std,3,0.7409962472069064,0.939164027131095,126,113,0.8968253968253969,0.8314622980954791,0.9387077300932523,CHEMBL233_Ki
99182118,mondrian_pair,worst_rf_std,4,0.939164027131095,inf,126,99,0.7857142857142857,0.7061786443560875,0.848343775939799,CHEMBL233_Ki
99182118,mondrian_wstd,worst_d_wstd,0,-inf,0.37310202703881523,121,113,0.9338842975206612,0.8749464696996738,0.9661202800153244,CHEMBL233_Ki
99182118,mondrian_wstd,worst_d_wstd,1,0.37310202703881523,0.6078483306492516,120,109,0.9083333333333333,0.843291530273291,0.9480428171514347,CHEMBL233_Ki
99182118,mondrian_wstd,worst_d_wstd,2,0.6078483306492516,0.7788200939764721,120,113,0.9416666666666667,0.8844740796636988,0.9714589899997798,CHEMBL233_Ki
99182118,mondrian_wstd,worst_d_wstd,3,0.7788200939764721,0.9359850686676958,120,108,0.9,0.833318258891048,0.9418664079739892,CHEMBL233_Ki
99182118,mondrian_wstd,worst_d_wstd,4,0.9359850686676958,inf,148,135,0.9121621621621622,0.8555205671087441,0.9479490580353794,CHEMBL233_Ki
99182118,mondrian_wstd,worst_rf_std,0,-inf,0.43199483797352806,126,121,0.9603174603174603,0.9104643457790981,0.9829328869198303,CHEMBL233_Ki
99182118,mondrian_wstd,worst_rf_std,1,0.43199483797352806,0.5917934843920519,126,122,0.9682539682539683,0.9212139122353924,0.9875867210273106,CHEMBL233_Ki
99182118,mondrian_wstd,worst_rf_std,2,0.5917934843920519,0.7409962472069064,125,115,0.92,0.8589881016125887,0.9559669676724172,CHEMBL233_Ki
99182118,mondrian_wstd,worst_rf_std,3,0.7409962472069064,0.939164027131095,126,116,0.9206349206349206,0.8600591015126653,0.9563211283673898,CHEMBL233_Ki
99182118,mondrian_wstd,worst_rf_std,4,0.939164027131095,inf,126,104,0.8253968253968254,0.7497659983259423,0.8817734247888173,CHEMBL233_Ki
99182118,mondrian_rfstd,worst_d_wstd,0,-inf,0.37310202703881523,121,116,0.9586776859504132,0.9069051929166947,0.9822225139248748,CHEMBL233_Ki
99182118,mondrian_rfstd,worst_d_wstd,1,0.37310202703881523,0.6078483306492516,120,108,0.9,0.833318258891048,0.9418664079739892,CHEMBL233_Ki
99182118,mondrian_rfstd,worst_d_wstd,2,0.6078483306492516,0.7788200939764721,120,111,0.925,0.8635908239400624,0.9600428846040397,CHEMBL233_Ki
99182118,mondrian_rfstd,worst_d_wstd,3,0.7788200939764721,0.9359850686676958,120,107,0.8916666666666667,0.8234463978470834,0.9355885884582658,CHEMBL233_Ki
99182118,mondrian_rfstd,worst_d_wstd,4,0.9359850686676958,inf,148,130,0.8783783783783784,0.8159442304391774,0.9216672287095263,CHEMBL233_Ki
99182118,mondrian_rfstd,worst_rf_std,0,-inf,0.43199483797352806,126,113,0.8968253968253969,0.8314622980954791,0.9387077300932523,CHEMBL233_Ki
99182118,mondrian_rfstd,worst_rf_std,1,0.43199483797352806,0.5917934843920519,126,113,0.8968253968253969,0.8314622980954791,0.9387077300932523,CHEMBL233_Ki
99182118,mondrian_rfstd,worst_rf_std,2,0.5917934843920519,0.7409962472069064,125,114,0.912,0.8492803613696875,0.9501517542146516,CHEMBL233_Ki
99182118,mondrian_rfstd,worst_rf_std,3,0.7409962472069064,0.939164027131095,126,119,0.9444444444444444,0.8897591867415384,0.9728312448298406,CHEMBL233_Ki
99182118,mondrian_rfstd,worst_rf_std,4,0.939164027131095,inf,126,113,0.8968253968253969,0.8314622980954791,0.9387077300932523,CHEMBL233_Ki
