method,marg_cov,width,worst_d_wstd,spread_d_wstd,worst_rf_std,spread_rf_std,cliffB_cov
global,0.8999000192218871,2.4446751009454597,0.813436574769941,0.1481153963189389,0.7733980603820075,0.20437875358058005,0.7163140385034645
mondrian_pair,0.9019058500269087,2.471249748919461,0.8161372225692575,0.14738177362030974,0.7781432072803878,0.20056623911056026,0.7160989841657615
mondrian_rfstd,0.9048787170220846,2.4051393663320177,0.8577193273957382,0.09263211112656038,0.8514135760552055,0.09962023209861137,0.6593735563377264
mondrian_wstd,0.9053721913295945,2.476694455906729,0.8545288734180903,0.09564516470936905,0.8160127700592532,0.15352043608808746,0.7330222098885626
