dataset,seed,group_def,side,n,rf_std_mean,d_wstd_mean,d_std_mean,d_nb_mean,d_nn_sim_mean,d_pair_gap_mean
CHEMBL233_Ki,73489431,cliffA,cliff,51,0.6829257630848014,0.8679764870231957,0.8756434700801552,28.764705882352942,0.8772710512073095,1.2773389693984778
CHEMBL233_Ki,73489431,cliffA,noncliff,578,0.6949695379702711,0.6613180335414337,0.6666163257515774,19.43598615916955,0.7732374009671132,0.6673505575081105
CHEMBL233_Ki,72441423,cliffB_oracle,cliff,25,0.6820051548259118,0.8809755534792322,0.8918890001820714,25.6,0.9070264643114028,1.4093727224961317
CHEMBL233_Ki,72441423,cliffB_oracle,noncliff,604,0.6977272107472151,0.6797861372497911,0.685913568664045,19.539735099337747,0.7802929209883358,0.6329450121372013
CHEMBL233_Ki,72441423,cliffA,cliff,56,0.6309766507523777,0.8415712503136442,0.8501836224245152,28.375,0.8946651186689483,1.2336887249498871
CHEMBL233_Ki,72441423,cliffA,noncliff,573,0.7035648721114007,0.6724182562153492,0.6785100271235776,18.94066317626527,0.7743760937725451,0.6081091392601733
CHEMBL233_Ki,47096259,cliffB_oracle,cliff,25,0.7475102913645063,0.9187101964561123,0.9335923532275587,29.2,0.9130883330387379,1.1967570101518232
CHEMBL233_Ki,47096259,cliffB_oracle,noncliff,604,0.7085505096753725,0.694214045599987,0.6994780114374337,19.1523178807947,0.7821150315413994,0.68118095407012
CHEMBL233_Ki,47096259,cliffA,cliff,57,0.7153171655543795,0.9379842569950826,0.9525626678667659,28.70175438596491,0.8986317672957435,1.4064304652123891
CHEMBL233_Ki,47096259,cliffA,noncliff,572,0.7095789977123043,0.679154957821592,0.6838907989433995,18.63986013986014,0.7759929926312829,0.631443505236087
CHEMBL233_Ki,87118625,cliffB_oracle,cliff,26,0.8203037130699375,0.9452962307046201,0.9505962919158418,27.384615384615383,0.8973735693526993,1.3865975752398032
CHEMBL233_Ki,87118625,cliffB_oracle,noncliff,603,0.6878793358009042,0.7151185236583478,0.7233879053287285,20.016583747927033,0.7812512670151692,0.6365180123308638
CHEMBL233_Ki,87118625,cliffA,cliff,53,0.7431161725656099,0.9110305072766235,0.9225504807579024,28.77358490566038,0.8620376278962378,1.2507288805783592
CHEMBL233_Ki,87118625,cliffA,noncliff,576,0.6887742688919901,0.7069727556054487,0.7147801304278373,19.54340277777778,0.7789133091153158,0.6138598397935638
CHEMBL233_Ki,58055701,cliffB_oracle,cliff,24,0.8197611609089716,0.9886725418963761,0.9895767401042187,26.041666666666668,0.9084428042805405,1.3765313469680338
CHEMBL233_Ki,58055701,cliffB_oracle,noncliff,605,0.6897082984393794,0.6764740106327713,0.6827403827748186,20.0,0.7799720817978274,0.6618625146384376
CHEMBL233_Ki,58055701,cliffA,cliff,54,0.7321983471779815,0.9101353569167103,0.9135106966635185,29.72222222222222,0.8858702573017424,1.291296813496861
CHEMBL233_Ki,58055701,cliffA,noncliff,575,0.6911462220348328,0.6672564783503862,0.6735721734689117,19.339130434782607,0.7752325060107298,0.6325800795733166
CHEMBL233_Ki,20237956,cliffB_oracle,cliff,22,0.6592610662150223,0.9835033770530814,1.0002276647933663,32.63636363636363,0.9065780405337951,1.8289669723765547
CHEMBL233_Ki,20237956,cliffB_oracle,noncliff,607,0.698019358896881,0.695313320979284,0.7018224104210133,19.810543657331138,0.7794996369521219,0.8613823978990525
CHEMBL233_Ki,20237956,cliffA,cliff,44,0.6411730581961473,0.9060463805991421,0.9187912802073975,29.545454545454547,0.8748994938769976,1.6137773512045503
CHEMBL233_Ki,20237956,cliffA,noncliff,585,0.70083740127608,0.6900868086982676,0.6965074110013892,19.560683760683762,0.7770007620396482,0.841179804211981
CHEMBL233_Ki,27734996,cliffB_oracle,cliff,26,0.76778675119797,0.8936500808663396,0.8914744197176705,26.0,0.9014407119118744,1.3159352573067546
CHEMBL233_Ki,27734996,cliffB_oracle,noncliff,603,0.686729718864702,0.6841142087458845,0.6925026021330443,20.054726368159205,0.7790253465216992,0.7037945041488677
CHEMBL233_Ki,27734996,cliffA,cliff,59,0.6763086864826197,0.8976059643082777,0.9030846214360922,30.796610169491526,0.8921944574854994,1.5455742298272848
