method,delta_mean,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_p,meta_I2,worst_group_delta,width_delta
mondrian_wstd,0.01569225149892548,0.07586828522728953,12,15,0.012387718386832784,0.17160508252876672,46.624973247239495,0.033732662166602194,0.03095561572932425
mondrian_nnsim,0.01257122551815793,0.36736648235956604,7,15,0.0019258402133659782,0.8707394633458856,68.27735567813897,0.013600550898163168,0.07768568077690252
mondrian_std,0.010342517931648058,0.22354935784718133,11,15,0.012410995617412974,0.1614819399203199,50.789176544150635,0.034505448617322125,0.027073094451912805
mondrian_iqr,-0.00635626564146484,0.8433975809904062,8,15,0.0025385275031789252,0.7771793173212352,29.27475213116859,0.037824071491095734,0.045755079372343084
mondrian_pairgap,-0.016089618073179233,0.05412384568466623,3,15,-0.009916132253592766,0.22389951507142014,39.78002419889221,0.011088543294476633,0.05847909184425224
mondrian_pair,-0.017239823074833516,0.019398860195363857,6,15,-0.007328158868699463,0.2872712508472314,50.00719962108631,0.0011588106285300315,0.023133479059691067
mondrian_nb,-0.04249633508384721,0.00046914643991928366,3,15,-0.030735252375020363,0.00337818216852466,47.60203481711812,0.013471506241903682,0.059894687060555764
mondrian_rfstd,-0.042594120568197384,0.0005004818357821114,3,15,-0.036508897951102556,0.007683559070953383,51.453262665242974,0.041875341967833664,-0.031225525237498317
