method,n_pairs,d_cliffB_mean,d_cliffB_pp,wilcoxon_p,pos_pairs,d_width_mean
mondrian_std,52,0.014011218699583118,1.4011218699583117,0.10772831530703267,29,0.0029172309201954214
mondrian_wstd,52,0.012231616728103743,1.2231616728103742,0.09867656393488627,29,-0.007620794415644057
mondrian_nnsim,54,0.009801826994967048,0.9801826994967048,0.7307340295258484,23,0.014517696898440085
mondrian_iqr,51,-0.010853543931179979,-1.0853543931179979,0.4119176755679902,23,0.009794583021363573
mondrian_pair,54,-0.017896961390710293,-1.7896961390710293,0.010839995090686349,15,0.012591722894438658
mondrian_pairgap,52,-0.02423113643780115,-2.423113643780115,0.013338653821462498,16,0.010195476658247719
mondrian_rfstd,51,-0.04728210925493642,-4.728210925493642,5.5719019743639245e-05,10,-0.07731571632057158
mondrian_nb,52,-0.048689469440305624,-4.868946944030562,0.00010256493032852856,12,0.009421939464066779
