method,note,alpha_for_target,marg_at,cov_cliffB,cov_cliffA,width
mondrian_wstd,,0.10328596315874666,0.9,0.7412585772049674,0.8155872622599001,2.4225598683491425
mondrian_std,,0.10238145312868592,0.9,0.7368002223005572,0.813889734166828,2.426719829883063
global,,0.10023457952900343,0.9,0.7287065314119168,0.8108001603548621,2.4194175739456236
mondrian_nnsim,,0.10749649894443022,0.9,0.7276776875860751,0.8015539525170191,2.4417939781001694
mondrian_iqr,,0.10408666523060632,0.9,0.7113985480571455,0.7962143674464578,2.4311026862032517
mondrian_pair,,0.10157396810221767,0.9,0.7042536574764766,0.7956252851273583,2.4365038123728175
mondrian_pairgap,,0.10435695708593329,0.9,0.7015698175832472,0.7900160470283798,2.4478778516820956
mondrian_rfstd,,0.103791271394477,0.9,0.6767291348625359,0.7649084471594318,2.361590505223486
mondrian_nb,,0.10505008940157788,0.9,0.6713260945333087,0.7685979497901819,2.4443537887612097
