bin,n,n_cliffB,frac_cliffB,q_global,q_rfstd,q_wstd,delta_q_rfstd,delta_q_wstd,cov_cliffB_global,cov_cliffB_rfstd,cov_cliffB_wstd,cov_noncliffB_global,n_noncliffB,cov_noncliffB_rfstd,cov_noncliffB_wstd
0,7196,74,0.01028349082823791,1.210224668672387,0.9817109574578419,1.1245151104610298,-0.2285137112145451,-0.08570955821135717,0.6621621621621622,0.2702702702702703,0.5540540540540541,0.9671440606571188,7122,0.9428531311429373,0.9560516708789666
1,12120,280,0.0231023102310231,1.2073737990233284,1.0003032198257984,0.9710207213481199,-0.20707057919753002,-0.23635307767520852,0.7642857142857142,0.5892857142857143,0.6071428571428571,0.9608952702702702,11840,0.935304054054054,0.9234797297297297
2,12635,560,0.0443213296398892,1.2054615950301781,1.0797535750475016,1.103545312423777,-0.12570801998267656,-0.10191628260640107,0.7446428571428572,0.6035714285714285,0.6660714285714285,0.9397101449275362,12075,0.918592132505176,0.9161076604554865
3,12787,833,0.06514428716665363,1.208013601490807,1.1664938937542952,1.2000158702311163,-0.0415197077365117,-0.00799773125969061,0.7454981992797118,0.695078031212485,0.737094837935174,0.9250460097038649,11954,0.9160950309519826,0.9194411912330601
4,12757,1016,0.07964254918868073,1.2056217342481175,1.3419252731155127,1.5701644668103685,0.1363035388673952,0.364542732562251,0.6850393700787402,0.734251968503937,0.8375984251968503,0.8644919512818329,11741,0.9013712630951367,0.931436845243165
