bin,n,n_cliffB,frac_cliffB,q_global,q_rfstd,q_wstd,delta_q_rfstd,delta_q_wstd,cov_cliffB_global,cov_cliffB_rfstd,cov_cliffB_wstd,cov_noncliffB_global,n_noncliffB,cov_noncliffB_rfstd,cov_noncliffB_wstd
0,13719,399,0.029083752460091844,1.2054137261333209,0.7680963489928181,1.0993358715421542,-0.4373173771405028,-0.1060778545911667,0.6591478696741855,0.2756892230576441,0.6015037593984962,0.9823573573573574,13320,0.9168168168168168,0.9742492492492493
1,12636,577,0.04566318455207344,1.2091871217985903,0.958708027678416,1.1454971436186259,-0.25047909412017433,-0.06368997817996447,0.7123050259965338,0.5528596187175043,0.6707105719237435,0.9651712413964674,12059,0.9206401857533792,0.9509909611078863
2,12004,599,0.04990003332222592,1.20697485755098,1.1404928223746598,1.1991473548242375,-0.06648203517632023,-0.007827502726742486,0.7646076794657763,0.7111853088480802,0.7762938230383973,0.9399386234107847,11405,0.9240683910565541,0.9305567733450241
3,10564,587,0.05556607345702386,1.2065682096047297,1.3315688709373168,1.2716462776546116,0.12500066133258714,0.06507806804988192,0.7410562180579217,0.7904599659284497,0.7904599659284497,0.8995690087200561,9977,0.9198155758243961,0.8986669339480806
4,8572,601,0.07011199253383107,1.207310856629185,1.6865065074086671,1.3759613955822596,0.4791956507794821,0.16865053895307458,0.7154742096505824,0.8801996672212978,0.8202995008319468,0.8030360055200101,7971,0.9264835026972776,0.8415506210011291
