method,delta_mean,wilcoxon_p,n_ds_delta_pos,n_ds,meta_delta,meta_p,meta_I2,worst_group_delta,width_delta
mondrian_nnsim,0.015754436652171612,0.0347994444781537,9,15,0.010106800846334744,0.14971258113758643,29.171906349323955,0.012263766123838057,0.06468462553146839
mondrian_rfstd,0.012149789420712792,0.046145190639367145,10,15,0.010208006951370257,0.11342163878133378,15.401475396102718,0.011234757878870969,0.08529548683516038
mondrian_wstd,0.010392410858681023,0.4049637675533947,10,15,0.009669269963996726,0.16080672909468985,0.0,0.024528295408685518,0.03267666533767784
mondrian_std,0.00918543605087795,0.45174567915251707,9,15,0.007187721114367467,0.3364486202279122,0.0,0.02551221337478923,0.03116586979011606
mondrian_pair,0.005654710375599938,0.20655424914258236,8,15,0.0038400378157930387,0.644995725142125,46.40569847416946,0.004271604279261539,0.01812351822217293
mondrian_iqr,0.002873266555772345,0.8374192519835879,6,15,-0.0006760398011389354,0.9454871194136519,39.172378668590675,0.032448867788052595,0.02424059517510695
mondrian_nb,-0.007404120434757688,0.2387012544504744,5,15,-0.015716937732612374,0.02204016416328252,8.275286366271075,0.009257714119723426,0.07859915374027832
mondrian_pairgap,-0.011957956659629712,0.23686178857834417,4,15,-0.011838468876220365,0.0724073060681912,40.18921274392645,0.006494739542579218,0.040464277763709026
