method,marg_cov,width,worst_d_wstd,spread_d_wstd,worst_rf_std,spread_rf_std,cliffB_cov
global,0.8988709204944033,2.430967204050634,0.813117732589187,0.1487730574482485,0.7732800835625062,0.20351584885781956,0.7260664948963184
mondrian_iqr,0.903495680199206,2.4699355959084683,0.8537986545355833,0.09705499318263532,0.816116727252198,0.14987036749168633,0.7271755141123759
mondrian_nb,0.9039765930456944,2.486251197562541,0.8270477873223158,0.13844502076664222,0.8080993405055871,0.1619357367489293,0.6847471904159863
mondrian_nnsim,0.9031573460556062,2.501381317011696,0.8231550752858326,0.1405274859687559,0.7930308959570161,0.18142460612881528,0.7452729501907047
mondrian_pair,0.9006154110606773,2.4571409794664945,0.8150189357330869,0.14828132411612752,0.7772820511625973,0.20079067321324387,0.7236119129970573
mondrian_pairgap,0.9030182679580679,2.49037277275944,0.8255009376034859,0.13596591354190668,0.7885953938748377,0.18687208348782824,0.7197253286624125
mondrian_rfstd,0.9035089428481479,2.3981267268293496,0.8572549483671045,0.09169741582592691,0.8511071896175133,0.09833036626952915,0.6734593578576833
mondrian_std,0.903341190726572,2.4662784269747475,0.8545125175839566,0.09459004620651318,0.8121804375986689,0.15807485146492867,0.7408007450968299
mondrian_wstd,0.9032239070536018,2.4644128406164514,0.8526552300804302,0.09769752146661893,0.8140270466225534,0.15400696701597194,0.7412745854125411
