rule,d_cliff_raw,p_raw,pos_raw,d_cliff_mtd,p_mtd,pos_mtd,d_width,w_ratio,gamma
floor_g0.00,-0.052607137038635086,2.443138799483033e-07,31/150,-0.04241362806616854,5.447350419143383e-06,30/150,-0.032840477221285316,0.9865198196405935,0.0
floor_g0.20,-0.052607137038635086,2.443138799483033e-07,31/150,-0.04241362806616854,5.447350419143383e-06,30/150,-0.032840477221285316,0.9865198196405935,0.2
floor_g0.40,-0.052607137038635086,2.443138799483033e-07,31/150,-0.04241362806616854,5.447350419143383e-06,30/150,-0.032840477221285316,0.9865198196405935,0.4
floor_g0.60,-0.05060176697234548,3.205375749034104e-07,32/150,-0.04270851342772057,3.5065531233961475e-06,28/150,-0.02066140365032899,0.9914145654308592,0.6
floor_g0.80,-0.019446726060377367,0.018065596499488707,44/150,-0.03296818537905206,9.049551546270572e-05,30/150,0.06509377637569412,1.0264346066623096,0.8
floor_g1.00,0.04800630912340741,2.4854553783364525e-15,83/150,-0.017066044202855728,0.0033515603550827644,25/150,0.2632513918216268,1.1080136315383387,1.0
