sim_bin,n,share_of_all,coverage,fail_rate,share_of_failures,cliffB_rate
0,14081,20.0669801909648,0.80740004261061,0.19259995738938995,38.1541924592009,0.0
1,14017,19.97577312241699,0.8932724548762218,0.10672754512377827,21.04670793472144,0.0
2,13983,19.927319367250963,0.9186869770435528,0.08131302295644711,15.996060776589758,0.0
3,13999,19.950121134387917,0.93628116294021,0.06371883705978998,12.549240292628024,3.5573969569254946
4,14090,20.079806184979336,0.9381831085876509,0.06181689141234918,12.253798536859877,16.770759403832507
