proxy,ad_quantile,n_in_ad,share_of_failures_in_ad,fail_rate_in_ad,fail_rate_out_ad,cov_in_ad_cliff,fail_in_ad_cliff,n_in_ad_cliff,cov_in_ad_noncliff,n_cliff_out_ad,in_ad_recall,in_ad_recall_lift
距离型 AD（1-NN 相似度）,0.1,63023,75.94259988745075,0.08565127017120734,0.23926122848747727,0.7154840964697657,0.2845159035302342,2861,0.9238057245437319,0,0.3566135605779919,1.7830678028899594
距离型 AD（1-NN 相似度）,0.2,56089,61.8458075407991,0.07837543903439177,0.19259995738938995,0.7154840964697657,0.2845159035302342,2861,0.9327045915683475,0,0.3682893539581438,1.8414467697907189
距离型 AD（1-NN 相似度）,0.3,49079,50.22509848058525,0.07273986837547627,0.1677492769427718,0.7154840964697657,0.2845159035302342,2861,0.9403695529880133,0,0.3851540616246499,1.9257703081232493
距离型 AD（1-NN 相似度）,0.4,42072,40.79909960607766,0.06892945426887241,0.14976154886468787,0.7154840964697657,0.2845159035302342,2861,0.9468006426767999,0,0.3893103448275862,1.9465517241379309
密度型 AD（训练邻居数）,0.1,62939,76.81485649971863,0.08675066334069496,0.22790761996957543,0.7177589852008457,0.2822410147991543,2838,0.9224804911731918,23,0.3617216117216117,1.8086080586080584
密度型 AD（训练邻居数）,0.2,56176,63.97017445132246,0.0809420393050413,0.18300700300128628,0.7225901398086829,0.27740986019131714,2718,0.9290471023981444,143,0.3800307895315593,1.9001539476577962
密度型 AD（训练邻居数）,0.3,49133,52.771525042205965,0.0763438015183278,0.15957598516898797,0.7291831879460746,0.27081681205392544,2522,0.9341786273626397,339,0.3870967741935484,1.9354838709677418
密度型 AD（训练邻居数）,0.4,42062,43.16263365222285,0.07293994579430364,0.14373132204354633,0.7391304347826086,0.2608695652173913,2254,0.9377009646302251,607,0.3882007822685789,1.9410039113428945
