method,marginal_coverage,nominal,n_test,n_fail,pooled_pof_p,n_groups,split_cov_sd,split_cov_p5,split_cov_p95,split_level_z,split_level_p,uc_reject_5pct,uc_reject_rate,cc_reject_5pct,cc_reject_rate,median_p_uc,median_p_cc
global,0.8987031494940858,0.9,70170,7108,0.2530739592533626,150,0.022463031660299955,0.8603773584905661,0.9324388783838998,-0.6156044984421548,0.5381555815954353,30,0.2,31,0.20666666666666667,0.30482316572340656,0.32126416282771486
pair,0.900213766566909,0.9,70170,7002,0.8502393770594376,150,0.021727830697472538,0.8622398052343274,0.9334370635018671,0.3468922189502632,0.7286722924945863,32,0.21333333333333335,26,0.17333333333333334,0.30189717021604273,0.33288240973666194
wstd,0.9016958814308109,0.9,70170,6898,0.1332955827173513,150,0.021769323712843916,0.8653673095959444,0.9384244186046512,1.8137741354878782,0.06971250605443124,28,0.18666666666666668,24,0.16,0.3001818837532029,0.35547052465171997
std,0.9018383924754169,0.9,70170,6888,0.10358131762018585,150,0.02081552886612201,0.8679743263431638,0.9357933233308326,1.9658910580793652,0.04931119620282853,27,0.18,21,0.14,0.3503001826192966,0.3251404315861786
iqr,0.9022089211913923,0.9,70170,6862,0.050359924658699096,150,0.02082991750363659,0.8690362234277424,0.9372207074562838,2.0553688680020965,0.03984339010030924,25,0.16666666666666666,27,0.18,0.3537089659562604,0.3385836176113137
nb,0.9026364543252102,0.9,70170,6832,0.019431188295718327,150,0.02020630602074366,0.8690362234277424,0.9319371727748691,2.410293070552268,0.015939710614203184,18,0.12,18,0.12,0.23605268282377717,0.30381205596979366
nnsim,0.9021234145646287,0.9,70170,6868,0.05998534934593591,150,0.021677302217213566,0.8672327044025158,0.9380617059891108,1.7838674527226945,0.07444520573234747,23,0.15333333333333332,27,0.18,0.3166137401117768,0.3021486904362112
pairgap,0.9022801767136953,0.9,70170,6857,0.04335886963282276,150,0.021671049788377254,0.8672825024437928,0.9366264513589749,1.7057817864051228,0.08804871546140003,33,0.22,25,0.16666666666666666,0.33316163309723157,0.31476284173701724
rfstd,0.902536696593986,0.9,70170,6839,0.024551819554976206,150,0.021990453697302032,0.866453530886552,0.9365771016497086,1.9542842619035183,0.05066760902734124,32,0.21333333333333335,29,0.19333333333333333,0.3008134275429927,0.2926415923917908
