rule,coverage,cov_cliffA,cov_cliffB,worst_ws,spread_ws,worst_rf,width
global,0.8988709204944033,0.8109765378454236,0.7260664948963184,0.8129781331893016,0.1500073476391088,0.7718253725884145,2.430967204050634
iqr,0.903495680199206,0.8084646175048155,0.7271755141123759,0.8548518197482493,0.09728377947274856,0.8157429891263774,2.4699355959084683
nb,0.9039765930456944,0.7831348398277206,0.6847471904159863,0.8272282047594482,0.13929075084816864,0.8076054234828918,2.486251197562541
nnsim,0.9031573460556062,0.8126268259550034,0.7452729501907047,0.8226958367133778,0.14275135206559614,0.791905604734359,2.501381317011696
rfstd,0.9035089428481479,0.7665115268299202,0.6734593578576833,0.8565474443282597,0.09307334883063273,0.8466246464571167,2.3981267268293496
rfstd_avg_ws,0.9114893242200903,0.8030348068854594,0.7112707939235324,0.8672763045858359,0.08585793133181217,0.8562759510014896,2.4312697837229007
rfstd_floor_g,0.9321736668002656,0.8487403251380077,0.7740728040197258,0.8820022357745991,0.09420872180228469,0.8782591074835318,2.694218595872261
rfstd_floor_g_ws,0.9408651776631725,0.8713472125965855,0.8086329079513145,0.9010544993447576,0.0774337943835997,0.8913180595354955,2.81470824724426
rfstd_floor_ws,0.9339141517199824,0.8496287581794287,0.7760441020117619,0.894398643245337,0.07707977787019231,0.8881892841116688,2.7070741679250614
rfstd_min_g,0.8702061965422856,0.7287477395373361,0.6254530487342759,0.7943864628985275,0.13921899247721195,0.7664168471134069,2.134875335007723
std,0.903341190726572,0.8226877906124141,0.7408007450968299,0.8537285829996613,0.09650896751283879,0.8115907687813054,2.4662784269747475
wstd,0.9032239070536018,0.8228526939282671,0.7412745854125411,0.8499173700231379,0.10314545506705326,0.8125462376275372,2.4644128406164514
