,NaN→0（本文默认）,剔除
n_used,70170.0,66883.0
n_dropped,0.0,3287.0
share_fail_in_ad,61.8458075407991,66.60117878192534
cliff_fail_in_ad,0.2845159035302342,0.2845159035302342
noncliff_fail_in_ad,0.9327045915683475,0.9356916996047431
n_cliff_out_ad,0.0,0.0
out_fail_rate,0.19259995738938995,0.15198927134555207
in_ad_recall,0.3682893539581438,0.3780727630285152
recall_lift,1.8414467697907189,1.8903638151425761
