组,n,share,coverage,fail_rate,share_of_failures
AD 内 × 悬崖(cliffB),2861,4.077240986176429,0.7154840964697659,0.2845159035302342,11.451885199774901
AD 内 × 非悬崖,53228,75.85577882285878,0.9327045915683475,0.06729540843165252,50.3939223410242
AD 外 × 非悬崖,14081,20.0669801909648,0.80740004261061,0.19259995738938995,38.1541924592009
