rule,dataset,seed,n,coverage,cov_cliffA,cov_cliffB,n_cliffB,cov_noncliffB,worst_ws,spread_ws,worst_rf,spread_rf,width
global,CHEMBL204_Ki,71339737,551,0.9219600725952813,0.8541666666666666,0.7857142857142857,28,0.9292543021032504,0.8449612403100775,0.12094785059901347,0.822429906542056,0.16704377766847023,2.665316452793906
global,CHEMBL204_Ki,99182118,551,0.9092558983666061,0.9215686274509803,0.8571428571428571,21,0.9113207547169812,0.8134328358208955,0.13939735285834975,0.7372881355932204,0.25378329297820823,2.62976630579136
global,CHEMBL204_Ki,89709943,551,0.9183303085299456,0.8928571428571429,0.8571428571428571,28,0.9216061185468452,0.8584905660377359,0.1149607613958924,0.7886178861788617,0.21138211382113825,2.6914150527250675
global,CHEMBL204_Ki,86921808,551,0.8929219600725953,0.717391304347826,0.6666666666666666,21,0.9018867924528302,0.7692307692307693,0.19568151147098511,0.7264957264957265,0.27350427350427353,2.497911318358639
global,CHEMBL204_Ki,89165191,551,0.9328493647912885,0.8833333333333333,0.7931034482758621,29,0.9406130268199234,0.8429752066115702,0.1475009838646203,0.8365384615384616,0.14423076923076916,3.0379381758567727
global,CHEMBL204_Ki,34332121,551,0.9128856624319419,0.8333333333333334,0.8148148148148148,27,0.9179389312977099,0.8360655737704918,0.15393442622950815,0.7741935483870968,0.22580645161290325,2.896312401014994
global,CHEMBL204_Ki,57652534,551,0.8856624319419237,0.8260869565217391,0.7777777777777778,27,0.8912213740458015,0.7327586206896551,0.22413793103448276,0.6944444444444444,0.2949172576832152,2.7230477952289096
global,CHEMBL204_Ki,65555877,551,0.8820326678765881,0.7872340425531915,0.72,25,0.8897338403041825,0.7535211267605634,0.19493248148685927,0.7338129496402878,0.24864319071058938,2.347424658979478
global,CHEMBL204_Ki,80882938,551,0.9074410163339383,0.8085106382978723,0.7619047619047619,21,0.9132075471698113,0.8088235294117647,0.19117647058823528,0.768595041322314,0.22263302885312453,2.712142357616458
global,CHEMBL204_Ki,62569839,551,0.8747731397459165,0.8387096774193549,0.7333333333333333,30,0.8829174664107485,0.7089552238805971,0.23486500083850403,0.6666666666666666,0.32209737827715357,2.5309814793702294
global,CHEMBL214_Ki,71339737,664,0.9231927710843374,0.74,0.625,16,0.9305555555555556,0.8489208633093526,0.11933310494461569,0.8071428571428572,0.1546405823475887,2.275710754556776
global,CHEMBL214_Ki,99182118,664,0.8825301204819277,0.673469387755102,0.6,30,0.8958990536277602,0.7964071856287425,0.14574157470183602,0.7214285714285714,0.23857142857142855,2.2104005239956366
