dataset,split,seed,signal,auc_fail,auc_cliffB,auc_cliffA,misalignB,misalignA
CHEMBL204_Ki,random,71339737,rf_std,0.728026002563633,0.4670854957661841,0.5044317428760768,0.26094050679744896,0.2235942596875562
CHEMBL204_Ki,random,71339737,d_wstd,0.601356559272391,0.6025210084033613,0.629124149659864,-0.0011644491309703575,-0.027767590387473007
CHEMBL204_Ki,random,71339737,d_nb,0.5924052371360556,0.33337885823545477,0.31755301524188206,0.2590263789006009,0.2748522218941736
CHEMBL204_Ki,random,71339737,d_nn_sim,0.6297209804223832,0.13035714285714287,0.16745323129251702,0.4993638375652404,0.46226774912986623
CHEMBL204_Ki,random,99182118,rf_std,0.8093413173652695,0.4784366576819407,0.4263921568627451,0.3309046596833288,0.38294916050252437
CHEMBL204_Ki,random,99182118,d_wstd,0.6193549761417859,0.6359357696566998,0.6150649560235617,-0.016580793514913927,0.004290020118224214
CHEMBL204_Ki,random,99182118,d_nb,0.5691616766467066,0.2772686433063792,0.3062549019607843,0.2918930333403274,0.2629067746859223
CHEMBL204_Ki,random,99182118,d_nn_sim,0.5754516019086571,0.1124953857511997,0.16717098361978536,0.46295621615745736,0.40828061828887174
CHEMBL204_Ki,random,89709943,rf_std,0.7602986385595081,0.621073477192024,0.5714646464646465,0.13922516136748408,0.18883399209486162
CHEMBL204_Ki,random,89709943,d_wstd,0.6192396313364056,0.6791316526610645,0.7119516893894487,-0.05989202132465887,-0.09271205805304317
CHEMBL204_Ki,random,89709943,d_nb,0.5433465085638999,0.4175430210325048,0.33670634920634923,0.1258034875313951,0.20664015935755065
CHEMBL204_Ki,random,89709943,d_nn_sim,0.6123511904761905,0.0995798319327731,0.1597325133372851,0.5127713585434174,0.45261867713890536
CHEMBL204_Ki,random,86921808,rf_std,0.8013297505856415,0.5487870619946091,0.5179078777442961,0.25254268859103235,0.28342187284134535
CHEMBL204_Ki,random,86921808,d_wstd,0.7256137067165791,0.6260612772240679,0.675152749490835,0.0995524294925112,0.05046095722574406
CHEMBL204_Ki,random,86921808,d_nb,0.4915081989802949,0.4039083557951482,0.33885062419285406,0.08759984318514669,0.15265757478744085
CHEMBL204_Ki,random,86921808,d_nn_sim,0.563062414512994,0.11041897379106681,0.19715753121402638,0.4526434407219272,0.36590488329896764
CHEMBL204_Ki,random,89165191,rf_std,0.7187927226837733,0.5414189456995641,0.4655125594025798,0.1773737769842092,0.25328016328119346
CHEMBL204_Ki,random,89165191,d_wstd,0.7161372763782402,0.6144387965379859,0.5933121019108281,0.10169847984025426,0.12282517446741215
