dataset,split,seed,method,n_test,n_cliffB,n_cliffA,cov_all,cov_cliffB,cov_noncliffB,gapB_pp,cov_cliffA,cov_noncliffA,gapA_pp,width_all,width_cliffA,width_noncliffA
CHEMBL204_Ki,random,71339737,global,551,28,48,0.9219600725952813,0.7857142857142857,0.9292543021032504,14.354001638896474,0.8541666666666666,0.9284294234592445,7.426275679257788,2.665316452793915,2.665316452793915,2.6653164527939155
CHEMBL204_Ki,random,71339737,mondrian_wstd,551,28,48,0.9038112522686026,0.7142857142857143,0.9139579349904398,19.967222070472545,0.8125,0.9125248508946322,10.002485089463221,2.5465759498450735,2.613671085842666,2.5401732330898366
CHEMBL204_Ki,random,71339737,mondrian_nb,551,28,48,0.9183303085299456,0.75,0.9273422562141491,17.73422562141491,0.8333333333333334,0.9264413518886679,9.310801855533457,2.7817188733672054,2.827362170079042,2.7773632506193557
CHEMBL204_Ki,random,71339737,mondrian_rfstd,551,28,48,0.9001814882032668,0.5,0.9216061185468452,42.16061185468452,0.7083333333333334,0.9184890656063618,21.01557322730284,2.4922768313601025,2.456362866901238,2.495704008883016
CHEMBL204_Ki,random,99182118,global,551,21,51,0.9092558983666061,0.8571428571428571,0.9113207547169812,5.417789757412406,0.9215686274509803,0.908,-1.3568627450980308,2.629766305791362,2.629766305791361,2.6297663057913625
CHEMBL204_Ki,random,99182118,mondrian_wstd,551,21,51,0.9274047186932849,0.8095238095238095,0.9320754716981132,12.255166217430368,0.9019607843137255,0.93,2.8039215686274543,2.779958032455452,2.8405937157762824,2.7737731927567264
CHEMBL204_Ki,random,99182118,mondrian_nb,551,21,51,0.911070780399274,0.8571428571428571,0.9132075471698113,5.606469002695425,0.9215686274509803,0.91,-1.1568627450980307,2.6154304797418986,2.686446574753913,2.608186838050673
CHEMBL204_Ki,random,99182118,mondrian_rfstd,551,21,51,0.911070780399274,0.6666666666666666,0.9207547169811321,25.408805031446548,0.7254901960784313,0.93,20.450980392156872,2.650181013917812,2.470215791925347,2.6685374665610437
CHEMBL204_Ki,random,89709943,global,551,28,56,0.9183303085299456,0.8571428571428571,0.9216061185468452,6.446326140398806,0.8928571428571429,0.9212121212121213,2.8354978354978355,2.6914150527250733,2.6914150527250733,2.6914150527250738
CHEMBL204_Ki,random,89709943,mondrian_wstd,551,28,56,0.9001814882032668,0.8571428571428571,0.9024856596558317,4.534280251297462,0.8928571428571429,0.901010101010101,0.8152958152958134,2.52498861798327,2.8008140449861076,2.493784125231434
CHEMBL204_Ki,random,89709943,mondrian_nb,551,28,56,0.9128856624319419,0.8571428571428571,0.9158699808795411,5.872712373668398,0.8928571428571429,0.9151515151515152,2.2294372294372256,2.7797610006082394,2.778902123026971,2.7798581665568274
CHEMBL204_Ki,random,89709943,mondrian_rfstd,551,28,56,0.9092558983666061,0.8214285714285714,0.9139579349904398,9.252936356186837,0.8571428571428571,0.9151515151515152,5.8008658008658065,2.4959703141983822,2.636410840278903,2.4800820930660405
CHEMBL204_Ki,random,86921808,global,551,21,46,0.8929219600725953,0.6666666666666666,0.9018867924528302,23.52201257861636,0.717391304347826,0.9089108910891089,19.151958674128288,2.497911318358639,2.4979113183586388,2.4979113183586397
CHEMBL204_Ki,random,86921808,mondrian_wstd,551,21,46,0.9056261343012704,0.5714285714285714,0.9188679245283019,34.743935309973054,0.7391304347826086,0.9207920792079208,18.16616444253122,2.6100066600004435,2.752166923771487,2.5970574082510023
CHEMBL204_Ki,random,86921808,mondrian_nb,551,21,46,0.8838475499092558,0.6190476190476191,0.8943396226415095,27.529200359389037,0.6956521739130435,0.900990099009901,20.533792509685757,2.6419570438211037,2.3560791201728817,2.6679974091435166
CHEMBL204_Ki,random,86921808,mondrian_rfstd,551,21,46,0.9147005444646098,0.5714285714285714,0.9283018867924528,35.68733153638814,0.6739130434782609,0.9366336633663367,26.272061988807582,2.541586046350064,2.592975717208914,2.5369050070243073
CHEMBL204_Ki,random,89165191,global,551,29,60,0.9328493647912885,0.7931034482758621,0.9406130268199234,14.750957854406133,0.8833333333333333,0.9389002036659878,5.556687033265451,3.037938175856777,3.037938175856776,3.037938175856777
CHEMBL204_Ki,random,89165191,mondrian_wstd,551,29,60,0.9382940108892922,0.8620689655172413,0.9425287356321839,8.045977011494255,0.8833333333333333,0.945010183299389,6.167684996605571,2.833103504263124,2.8106204559254073,2.8358509236119294
CHEMBL204_Ki,random,89165191,mondrian_nb,551,29,60,0.9364791288566243,0.7586206896551724,0.946360153256705,18.77394636015326,0.8666666666666667,0.945010183299389,7.834351663272232,2.9375624602753887,2.849780927067419,2.948289327877178
CHEMBL204_Ki,random,89165191,mondrian_rfstd,551,29,60,0.9292196007259528,0.7931034482758621,0.9367816091954023,14.367816091954023,0.8666666666666667,0.9368635437881874,7.019687712152067,2.7759975146016242,2.7304585686495972,2.7815623552474933
