group_def,method,n_datasets,n_datasets_gap_pos,gap_fixed_mean,k,effect,se,ci_lo,ci_hi,z,p_value,tau2,I2,Q,fisher_p_all_seeds,stouffer_p,stouffer_Z,min_perm_p,median_perm_p
defA,cluster,8,8,0.08442579299499878,8,0.083,0.0121,0.0592,0.1068,6.8476,0.0,0.0009,80.6062,36.094,0.003438758300588285,7.39336752629257e-06,4.482,0.0351324337831084,0.12163918040979504
defA,global,8,8,0.09343574653168882,8,0.0931,0.0161,0.0616,0.1247,5.7836,0.0,0.0018,88.4804,60.7659,0.001266593064364161,2.7924330259762597e-06,4.686,0.0164917541229385,0.09307846076961515
defA,knn_weighted,8,8,0.09490739101035867,8,0.0956,0.012,0.0721,0.1192,7.9588,0.0,0.0009,76.2376,29.4583,0.0014068601401026044,3.1603591985549703e-06,4.66,0.0197901049475262,0.12071464267866065
defB_oracle,cluster,8,8,0.1660661725660421,8,0.1669,0.0172,0.1332,0.2005,9.7154,0.0,0.0016,70.7581,23.9382,0.00022492774168320155,3.009946936612539e-07,5.123,0.0133933033483258,0.06914042978510734
defB_oracle,global,8,8,0.1817488462556684,8,0.1808,0.0216,0.1383,0.2232,8.3511,0.0,0.003,83.6889,42.9157,7.438240101039386e-05,9.308242114751648e-08,5.34,0.0101949025487256,0.05267366316841575
defB_oracle,knn_weighted,8,8,0.19177072040012835,8,0.1898,0.0176,0.1553,0.2244,10.7599,0.0,0.0015,63.4556,19.1548,0.00010604880927032286,1.2607202535796714e-07,5.284,0.0062968515742128,0.08900549725137424
defC_proxy,cluster,8,7,0.07774786687775331,8,0.0725,0.0234,0.0267,0.1183,3.1005,0.0019,0.0028,65.4859,20.2816,0.665393578335803,0.06134192975453865,1.871,0.1985507246376811,0.4471014492753622
defC_proxy,global,8,7,0.09937910729104596,8,0.0954,0.0306,0.0354,0.1555,3.1146,0.0018,0.006,83.1948,41.6538,0.5076870676813023,0.035767425124882776,2.1,0.1219390304847576,0.4063968015992004
defC_proxy,knn_weighted,8,7,0.08715965033466815,8,0.0842,0.0274,0.0306,0.1378,3.0769,0.0021,0.0043,73.589,26.5041,0.5566345896485951,0.0486872445226155,1.971,0.169815092453773,0.42856071964017994
