method,group_def,side,coverage_mean,coverage_sd,n_mean,k_sum,n_sum,width_mean,rmse_mean,ci_lo,ci_hi,dataset
cluster,defB_oracle,cliff,0.7344305435666005,0.0902170907881234,29.7,218,297,2.7946078557505,1.1619491855457942,0.6809990145006694,0.7810383673977012,CHEMBL244_Ki
cluster,defB_oracle,noncliff,0.9100348388589466,0.011824114920276787,590.3,5372,5903,2.735429369176246,0.7771884953175074,0.9024777267287697,0.9170804133954972,CHEMBL244_Ki
cluster,defC_proxy,all,0.9016129032258065,0.01235389816459792,620.0,5590,6200,2.738248329737159,0.8005226684856238,0.8939487085479685,0.9087797352808753,CHEMBL244_Ki
cluster,defC_proxy,cliff,0.8542446524064171,0.09532978084521974,14.7,126,147,2.874372634147452,0.9332712521939088,0.7914691424459974,0.9046259551545497,CHEMBL244_Ki
cluster,defC_proxy,noncliff,0.9026939591251175,0.011248143729340722,605.3,5464,6053,2.7349067435089385,0.7968636624392893,0.8949691836805217,0.9099057718791034,CHEMBL244_Ki
global,defA,all,0.8938709677419355,0.019035599002068665,620.0,5542,6200,2.5990174453061052,0.8005226684856238,0.8859589049635846,0.9012952556107273,CHEMBL244_Ki
global,defA,cliff,0.7987279118640254,0.05857808587232085,58.6,466,586,2.5990174453061057,1.0134874872731103,0.7606762952773692,0.8259220097854502,CHEMBL244_Ki
global,defA,noncliff,0.904132704913942,0.015440923658628182,561.4,5076,5614,2.5990174453061052,0.7733690526804515,0.8961894432803599,0.9115941215040804,CHEMBL244_Ki
global,defB_oracle,all,0.8938709677419355,0.019035599002068665,620.0,5542,6200,2.5990174453061052,0.8005226684856238,0.8859589049635846,0.9012952556107273,CHEMBL244_Ki
global,defB_oracle,cliff,0.698543868848404,0.09649059444052817,29.7,209,297,2.5990174453061052,1.1619491855457942,0.6494385578599737,0.7527666450875288,CHEMBL244_Ki
global,defB_oracle,noncliff,0.9034749640635507,0.017280444945948267,590.3,5333,5903,2.5990174453061052,0.7771884953175074,0.89563980521433,0.9107133080705045,CHEMBL244_Ki
global,defC_proxy,all,0.8938709677419355,0.019035599002068665,620.0,5542,6200,2.5990174453061052,0.8005226684856238,0.8859589049635846,0.9012952556107273,CHEMBL244_Ki
global,defC_proxy,cliff,0.8224027035056446,0.1192310446921821,14.7,121,147,2.5990174453061052,0.9332712521939088,0.7534560867727113,0.876344239627784,CHEMBL244_Ki
global,defC_proxy,noncliff,0.8956136126684209,0.018035860595427722,605.3,5421,6053,2.5990174453061052,0.7968636624392893,0.8876328856397053,0.9030432501910728,CHEMBL244_Ki
