bin,n,n_cliffB,frac_cliffB,q_global,q_rfstd,q_wstd,delta_q_rfstd,delta_q_wstd,cov_cliffB_global,cov_cliffB_rfstd,cov_cliffB_wstd,cov_noncliffB_global,n_noncliffB,cov_noncliffB_rfstd,cov_noncliffB_wstd
0,7196,74,0.01028349082823791,1.2930745068073695,1.0944723506463443,1.2766121137581001,-0.19860215616102517,-0.01646239304926933,0.6891891891891891,0.43243243243243246,0.7027027027027027,0.95787700084246,7122,0.9502948609941028,0.9563324908733501
1,12120,280,0.0231023102310231,1.2865519331280488,1.0754814811357736,1.0711707199710232,-0.21107045199227525,-0.21538121315702563,0.8357142857142857,0.6535714285714286,0.725,0.960472972972973,11840,0.9375844594594595,0.9264358108108108
2,12635,560,0.0443213296398892,1.2848499743369488,1.131833888447174,1.1619051086733185,-0.1530160858897749,-0.12294486566363028,0.8017857142857143,0.6464285714285715,0.7303571428571428,0.9449275362318841,12075,0.9194202898550725,0.9161076604554865
3,12787,833,0.06514428716665363,1.2860051741481413,1.210697690195355,1.254027596835624,-0.0753074839527863,-0.03197757731251727,0.7983193277310925,0.7358943577430972,0.7827130852340937,0.9256315877530533,11954,0.9143382968044169,0.9152584908817132
4,12757,1016,0.07964254918868073,1.2843037193999391,1.3902324132470583,1.634733479101752,0.10592869384711912,0.3504297597018129,0.7411417322834646,0.75,0.8740157480314961,0.8598075121369559,11741,0.8959202793629163,0.931522016863981
