seed,method,group_def,side,n,k,coverage,ci_lo,ci_hi,mean_width,worst_d_wstd_cov,worst_d_wstd_spread,worst_rf_std_cov,worst_rf_std_spread,dataset
71339737,global,cliffB_oracle,all,629,548,0.8712241653418124,0.842777130933277,0.8951644079637775,2.188741977762723,,,,,CHEMBL233_Ki
71339737,global,cliffB_oracle,cliff,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,2.188741977762723,,,,,CHEMBL233_Ki
71339737,global,cliffB_oracle,noncliff,599,529,0.8831385642737897,0.8549365150415007,0.9064577011060031,2.188741977762723,,,,,CHEMBL233_Ki
71339737,global,cliffA,all,629,548,0.8712241653418124,0.842777130933277,0.8951644079637775,2.188741977762723,,,,,CHEMBL233_Ki
71339737,global,cliffA,cliff,55,42,0.7636363636363637,0.6365163381083228,0.8563334413026682,2.188741977762722,,,,,CHEMBL233_Ki
71339737,global,cliffA,noncliff,574,506,0.8815331010452961,0.8525260462836766,0.9054673328932104,2.188741977762723,,,,,CHEMBL233_Ki
71339737,global,__bins__,__summary__,-1,-1,,,,2.188741977762723,0.8378378378378378,0.09549549549549552,0.746031746031746,0.20634920634920628,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,all,629,556,0.8839427662957074,0.8565490741297912,0.9066752583911453,2.2670259654953537,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,cliff,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,2.1111025245058084,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,noncliff,599,537,0.8964941569282137,0.86952009792137,0.9184150930809487,2.2748351528571007,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,all,629,556,0.8839427662957074,0.8565490741297912,0.9066752583911453,2.2670259654953537,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,cliff,55,40,0.7272727272727273,0.5976780188832919,0.8271924806089416,2.098000414508824,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,noncliff,574,516,0.8989547038327527,0.8715860537349143,0.9210188952674014,2.2832217935515544,,,,,CHEMBL233_Ki
71339737,mondrian_pair,__bins__,__summary__,-1,-1,,,,2.2670259654953537,0.8403361344537815,0.10966386554621843,0.8174603174603174,0.13492063492063489,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,all,629,552,0.8775834658187599,0.8496521107065953,0.9009308250024002,2.259653087255301,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,cliff,30,21,0.7,0.5212421254128504,0.8333525173175619,2.5312032035431216,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,noncliff,599,531,0.8864774624373957,0.8585718938125652,0.9094575660486423,2.246052914486295,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,all,629,552,0.8775834658187599,0.8496521107065953,0.9009308250024002,2.259653087255301,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,cliff,55,44,0.8,0.6763512084273607,0.8844778509023875,2.5122114955505377,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,noncliff,574,508,0.8850174216027874,0.8563224883804037,0.908593204761569,2.2354532397705658,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,__bins__,__summary__,-1,-1,,,,2.259653087255301,0.8403361344537815,0.09209629797865093,0.8095238095238095,0.12698412698412698,CHEMBL233_Ki
71339737,mondrian_std,cliffB_oracle,all,629,549,0.8728139904610492,0.8444938925811907,0.8966079955188491,2.245889260801506,,,,,CHEMBL233_Ki
71339737,mondrian_std,cliffB_oracle,cliff,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386,2.526979609932884,,,,,CHEMBL233_Ki
71339737,mondrian_std,cliffB_oracle,noncliff,599,529,0.8831385642737897,0.8549365150415007,0.9064577011060031,2.2318112800436745,,,,,CHEMBL233_Ki
71339737,mondrian_std,cliffA,all,629,549,0.8728139904610492,0.8444938925811907,0.8966079955188491,2.245889260801506,,,,,CHEMBL233_Ki
71339737,mondrian_std,cliffA,cliff,55,43,0.7818181818181819,0.6562996597815998,0.8705397595887698,2.506370786346824,,,,,CHEMBL233_Ki
71339737,mondrian_std,cliffA,noncliff,574,506,0.8815331010452961,0.8525260462836766,0.9054673328932104,2.2209302296081397,,,,,CHEMBL233_Ki
71339737,mondrian_std,__bins__,__summary__,-1,-1,,,,2.245889260801506,0.8264462809917356,0.1059861514406969,0.8015873015873016,0.13492063492063489,CHEMBL233_Ki
71339737,mondrian_iqr,cliffB_oracle,all,629,556,0.8839427662957074,0.8565490741297912,0.9066752583911453,2.114326127195051,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,cliffB_oracle,cliff,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,2.3639545144810086,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,cliffB_oracle,noncliff,599,534,0.8914858096828047,0.8640378494291192,0.9139444760026438,2.1018238707366557,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,cliffA,all,629,556,0.8839427662957074,0.8565490741297912,0.9066752583911453,2.114326127195051,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,cliffA,cliff,55,44,0.8,0.6763512084273607,0.8844778509023875,2.2819197139110194,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,cliffA,noncliff,574,512,0.89198606271777,0.8639380715357814,0.9148222495363629,2.098267508258852,,,,,CHEMBL233_Ki
71339737,mondrian_iqr,__bins__,__summary__,-1,-1,,,,2.114326127195051,0.8648648648648649,0.04422604422604415,0.8253968253968254,0.10317460317460325,CHEMBL233_Ki
71339737,mondrian_nb,cliffB_oracle,all,629,554,0.8807631160572337,0.853097752115814,0.903805881999152,2.2221878344097235,,,,,CHEMBL233_Ki
71339737,mondrian_nb,cliffB_oracle,cliff,30,16,0.5333333333333333,0.36142299619873297,0.6976761109230025,1.9960755331490037,,,,,CHEMBL233_Ki
71339737,mondrian_nb,cliffB_oracle,noncliff,599,538,0.8981636060100167,0.8713513098115355,0.919901503047635,2.2335123236214454,,,,,CHEMBL233_Ki
71339737,mondrian_nb,cliffA,all,629,554,0.8807631160572337,0.853097752115814,0.903805881999152,2.2221878344097235,,,,,CHEMBL233_Ki
71339737,mondrian_nb,cliffA,cliff,55,37,0.6727272727272727,0.5410322355657868,0.7818693440483107,2.0088547106456516,,,,,CHEMBL233_Ki
71339737,mondrian_nb,cliffA,noncliff,574,517,0.9006968641114983,0.8735034457752041,0.9225626602096545,2.2426291615996607,,,,,CHEMBL233_Ki
71339737,mondrian_nb,__bins__,__summary__,-1,-1,,,,2.2221878344097235,0.8243243243243243,0.12608889881617158,0.8095238095238095,0.12698412698412698,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffB_oracle,all,629,553,0.8791732909379968,0.8513742333422184,0.9023690515697623,2.171690907636096,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffB_oracle,cliff,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347,1.9835120405264708,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffB_oracle,noncliff,599,536,0.8948247078464107,0.8676908101101217,0.9169267590353449,2.1811155587434223,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffA,all,629,553,0.8791732909379968,0.8513742333422184,0.9023690515697623,2.171690907636096,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffA,cliff,55,38,0.6909090909090909,0.5597140984246408,0.7971771211488353,1.9660251827515136,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,cliffA,noncliff,574,515,0.8972125435540069,0.8696708680316672,0.9194729239881057,2.1913975537487302,,,,,CHEMBL233_Ki
71339737,mondrian_nnsim,__bins__,__summary__,-1,-1,,,,2.171690907636096,0.8243243243243243,0.1006756756756757,0.8174603174603174,0.11904761904761907,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffB_oracle,all,629,556,0.8839427662957074,0.8565490741297912,0.9066752583911453,2.2155938988903023,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffB_oracle,cliff,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,2.0879049644208285,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffB_oracle,noncliff,599,537,0.8964941569282137,0.86952009792137,0.9184150930809487,2.2219890041224963,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffA,all,629,556,0.8839427662957074,0.8565490741297912,0.9066752583911453,2.2155938988903023,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffA,cliff,55,40,0.7272727272727273,0.5976780188832919,0.8271924806089416,2.066054191205689,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,cliffA,noncliff,574,516,0.8989547038327527,0.8715860537349143,0.9210188952674014,2.2299226165255877,,,,,CHEMBL233_Ki
71339737,mondrian_pairgap,__bins__,__summary__,-1,-1,,,,2.2155938988903023,0.8319327731092437,0.0930672268907563,0.8253968253968254,0.11904761904761907,CHEMBL233_Ki
71339737,mondrian_rfstd,cliffB_oracle,all,629,541,0.8600953895071543,0.830794789292883,0.885024305183275,2.1083402775841074,,,,,CHEMBL233_Ki
71339737,mondrian_rfstd,cliffB_oracle,cliff,30,16,0.5333333333333333,0.36142299619873297,0.6976761109230025,2.216838295689459,,,,,CHEMBL233_Ki
